"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","year","surveyed","n_visits","detected","p_occupied","psi_expected","psi_expected_lo95","psi_expected_hi95"
"MYYU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2017,FALSE,0,NA,NA,0.4305,0.1903,0.6909
"MYYU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2018,FALSE,0,NA,NA,0.4203,0.2677,0.5969
"MYYU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2019,FALSE,0,NA,NA,0.3932,0.2523,0.5494
"MYYU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2020,FALSE,0,NA,NA,0.3449,0.2042,0.5052
"MYYU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2021,FALSE,0,NA,NA,0.3845,0.2497,0.5377
"MYYU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2022,FALSE,0,NA,NA,0.4173,0.2736,0.5707
"MYYU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2023,TRUE,4,1,1,0.443,0.2856,0.6061
"MYYU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2024,FALSE,0,NA,NA,0.4453,0.2889,0.6152
"MYYU","111466_NW",111466,"NW","Kootenay Region",49.01861,-115.09568,2025,TRUE,4,0,0.0067,0.4522,0.2905,0.6207
"MYYU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2017,FALSE,0,NA,NA,0.5857,0.3666,0.7959
"MYYU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2018,TRUE,3,0,0.0164,0.7148,0.5877,0.8293
"MYYU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2019,TRUE,4,0,0.012,0.7631,0.651,0.8552
"MYYU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2020,FALSE,0,NA,NA,0.7577,0.6078,0.8683
"MYYU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2021,FALSE,0,NA,NA,0.8045,0.6872,0.8961
"MYYU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2022,TRUE,4,1,1,0.8365,0.7301,0.9167
"MYYU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2023,FALSE,0,NA,NA,0.8577,0.7543,0.9343
"MYYU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2024,TRUE,4,1,1,0.8623,0.7605,0.9383
"MYYU","114602_NE",114602,"NE","South Coastal Region",49.70588,-125.06708,2025,TRUE,4,1,1,0.8673,0.7617,0.9433
"MYYU","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2017,FALSE,0,NA,NA,0.3639,0.1534,0.641
"MYYU","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2018,TRUE,3,0,0.0151,0.4909,0.3467,0.6437
"MYYU","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2019,TRUE,4,0,0.006,0.5309,0.3859,0.6687
"MYYU","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2020,TRUE,4,0,0.0182,0.5116,0.341,0.6777
"MYYU","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2021,TRUE,4,1,1,0.5703,0.4143,0.7241
"MYYU","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2022,TRUE,4,0,0.0229,0.6142,0.4536,0.7656
"MYYU","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2023,FALSE,0,NA,NA,0.6453,0.4727,0.8035
"MYYU","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2024,TRUE,4,0,0.0018,0.6512,0.4764,0.8117
"MYYU","114602_NW",114602,"NW","South Coastal Region",49.67623,-125.13792,2025,TRUE,4,0,0.004,0.6594,0.4763,0.8226
"MYYU","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2017,FALSE,0,NA,NA,0.6752,0.4064,0.8867
"MYYU","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2018,TRUE,3,0,0.3791,0.7967,0.6426,0.9134
"MYYU","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2019,TRUE,4,1,1,0.8528,0.7419,0.9307
"MYYU","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2020,TRUE,4,1,1,0.8723,0.7758,0.9399
"MYYU","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2021,TRUE,4,1,1,0.9041,0.8243,0.9595
"MYYU","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2022,TRUE,4,0,0.4516,0.9259,0.8571,0.971
"MYYU","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2023,FALSE,0,NA,NA,0.9399,0.8779,0.9789
"MYYU","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2024,TRUE,4,1,1,0.9455,0.886,0.9825
"MYYU","114602_SE",114602,"SE","South Coastal Region",49.65756,-125.0438,2025,TRUE,4,1,1,0.9499,0.8915,0.9847
"MYYU","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2017,FALSE,0,NA,NA,0.6083,0.378,0.8187
"MYYU","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2018,TRUE,4,1,1,0.7394,0.6049,0.8546
"MYYU","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2019,TRUE,4,1,1,0.7972,0.6926,0.8811
"MYYU","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2020,TRUE,4,1,1,0.809,0.702,0.8933
"MYYU","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2021,TRUE,4,1,1,0.8492,0.7581,0.9208
"MYYU","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2022,TRUE,2,1,1,0.8776,0.7966,0.94
"MYYU","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2023,FALSE,0,NA,NA,0.8964,0.8196,0.9544
"MYYU","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2024,TRUE,4,1,1,0.903,0.8274,0.9588
"MYYU","114602_SW",114602,"SW","South Coastal Region",49.64146,-125.08654,2025,TRUE,4,1,1,0.9085,0.8325,0.9633
"MYYU","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,2017,FALSE,0,NA,NA,0.1554,0.0339,0.352
"MYYU","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,2018,TRUE,3,1,1,0.1771,0.07,0.3509
"MYYU","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,2019,FALSE,0,NA,NA,0.1917,0.09,0.3486
"MYYU","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,2020,TRUE,3,1,1,0.1989,0.1007,0.3469
"MYYU","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,2021,TRUE,4,1,1,0.2159,0.112,0.3589
"MYYU","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,2022,TRUE,3,1,1,0.2346,0.126,0.3765
"MYYU","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,2023,TRUE,4,0,0.8473,0.2529,0.1378,0.3986
"MYYU","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,2024,FALSE,0,NA,NA,0.2687,0.1448,0.4188
"MYYU","115322_NE",115322,"NE","Northern Region",52.37764,-125.98565,2025,TRUE,4,1,1,0.2844,0.153,0.4401
"MYYU","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,2017,FALSE,0,NA,NA,0.4758,0.1142,0.8377
"MYYU","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,2018,TRUE,2,1,1,0.5126,0.1986,0.8311
"MYYU","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,2019,TRUE,3,1,1,0.5388,0.2491,0.8271
"MYYU","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,2020,TRUE,3,1,1,0.5563,0.282,0.8213
"MYYU","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,2021,TRUE,4,1,1,0.5816,0.3187,0.8265
"MYYU","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,2022,TRUE,3,1,1,0.6076,0.3505,0.8368
"MYYU","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,2023,TRUE,4,1,1,0.6319,0.3807,0.8495
"MYYU","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,2024,TRUE,4,1,1,0.653,0.4042,0.8592
"MYYU","115322_NW",115322,"NW","Northern Region",52.37481,-126.08159,2025,TRUE,4,1,1,0.6729,0.4317,0.8699
"MYYU","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,2017,FALSE,0,NA,NA,0.3075,0.0931,0.558
"MYYU","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,2018,TRUE,2,1,1,0.3398,0.1505,0.5687
"MYYU","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,2019,TRUE,3,1,1,0.3637,0.1859,0.572
"MYYU","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,2020,FALSE,0,NA,NA,0.3803,0.2105,0.573
"MYYU","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,2021,TRUE,2,0,0.9633,0.4045,0.2358,0.5866
"MYYU","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,2022,TRUE,4,1,1,0.4303,0.2623,0.6079
"MYYU","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,2023,TRUE,4,1,1,0.455,0.2863,0.627
"MYYU","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,2024,TRUE,3,1,1,0.4773,0.3072,0.6486
"MYYU","115322_SE",115322,"SE","Northern Region",52.35752,-126.01253,2025,TRUE,4,1,1,0.4989,0.3253,0.6694
"MYYU","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,2017,FALSE,0,NA,NA,0.2558,0.0756,0.4806
"MYYU","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,2018,TRUE,3,1,1,0.2622,0.132,0.4263
"MYYU","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,2019,TRUE,3,1,1,0.257,0.1365,0.4032
"MYYU","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,2020,TRUE,3,1,1,0.236,0.1118,0.3867
"MYYU","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,2021,TRUE,2,1,1,0.2513,0.1202,0.4182
"MYYU","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,2022,TRUE,2,0,0.3273,0.2695,0.1274,0.4573
"MYYU","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,2023,TRUE,4,0,0.2684,0.2869,0.1299,0.4909
"MYYU","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,2024,TRUE,3,1,1,0.2964,0.1311,0.5118
"MYYU","115322_SW",115322,"SW","Northern Region",52.34498,-126.07967,2025,TRUE,4,0,0.1638,0.3066,0.1342,0.5286
"MYYU","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,2017,TRUE,4,0,0.182,0.6189,0.3613,0.8423
"MYYU","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,2018,TRUE,2,1,1,0.5908,0.4281,0.746
"MYYU","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,2019,TRUE,4,0,0.3076,0.5548,0.4023,0.6937
"MYYU","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,2020,TRUE,4,1,1,0.4932,0.3208,0.6488
"MYYU","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,2021,TRUE,4,1,1,0.5404,0.4016,0.6711
"MYYU","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,2022,TRUE,4,1,1,0.5766,0.441,0.7038
"MYYU","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,2023,TRUE,4,1,1,0.6041,0.4656,0.7371
"MYYU","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,2024,TRUE,4,1,1,0.6049,0.4622,0.7447
"MYYU","1194_NW",1194,"NW","Kootenay Region",50.11749,-117.523,2025,TRUE,3,0,0.2036,0.6112,0.4678,0.7508
"MYYU","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,2017,TRUE,4,1,1,0.7646,0.4523,0.953
"MYYU","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,2018,FALSE,0,NA,NA,0.7911,0.6127,0.9162
"MYYU","1194_SW",1194,"SW","Kootenay Region",50.0903,-117.4679,2019,TRUE,4,0,0.0522,0.7927,0.6472,0.9034
