"species","scope","n_detections","psi_first","psi_last","slope","slope_lo95","slope_hi95","change","change_lo95","change_hi95","p_increase"
"MYLU","BC (all sites)",3006,0.848,0.9753,0.01843,0.01324,0.02405,0.1274,0.0703,0.1946,1
"MYLU","BC (surveyed sites)",3006,0.8369,0.9826,0.02075,0.01902,0.02222,0.1456,0.132,0.1562,1
"MYLU","BC (region-weighted)",3006,0.8367,0.9746,0.01952,0.01421,0.02541,0.1379,0.0787,0.2099,1
"MYLU","Kootenay Region",685,0.7496,0.9966,0.02845,0.01752,0.0421,0.247,0.1282,0.3846,1
"MYLU","Northern Region",878,0.9607,0.9807,0.0057,-0.00028,0.01444,0.02,-0.0333,0.1167,0.526
"MYLU","Okanagan Region",572,0.8369,0.9544,0.0185,0.00808,0.03131,0.1175,0,0.303,0.9418
"MYLU","South Coastal Region",871,0.7997,0.9667,0.02543,0.01447,0.03742,0.1671,0.0377,0.3208,0.9922
