"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"LABO","175354_SW",175354,"SW","Northern Region",59.40931,-126.09868,5,2,TRUE,0.673,0.4848,0.2628,0.7465
"LABO","17706_NW",17706,"NW","Northern Region",51.97601,-120.10368,2,0,FALSE,0.5327,0.7239,0.5356,0.9001
"LABO","17706_SE",17706,"SE","Northern Region",51.9408,-120.01683,5,0,FALSE,0.3229,0.6246,0.4201,0.8224
"LABO","17706_SW",17706,"SW","Northern Region",51.94316,-120.06784,4,0,FALSE,0.2279,0.5518,0.3551,0.7615
"LABO","186330_NE",186330,"NE","Northern Region",55.95727,-122.58949,2,1,TRUE,0.9596,0.733,0.4645,0.957
"LABO","186330_NW",186330,"NW","Northern Region",55.94606,-122.65922,2,0,FALSE,0.2706,0.633,0.425,0.855
"LABO","186490_NW",186490,"NW","Northern Region",54.754,-127.12678,8,2,TRUE,0.3952,0.3333,0.1692,0.5807
"LABO","186490_SE",186490,"SE","Northern Region",54.72257,-126.99742,6,1,TRUE,0.6956,0.6442,0.4444,0.8411
"LABO","186490_SW",186490,"SW","Northern Region",54.72278,-127.05397,9,9,TRUE,1,0.4521,0.2564,0.724
"LABO","194666_NE",194666,"NE","Okanagan Region",50.23014,-119.32344,6,0,FALSE,0.1001,0.2258,0.1224,0.3574
"LABO","194666_SW",194666,"SW","Okanagan Region",50.16915,-119.41081,6,1,TRUE,0.2704,0.3538,0.2141,0.5112
"LABO","20330_NE",20330,"NE","Kootenay Region",49.42454,-117.72865,7,1,TRUE,0.3933,0.4118,0.2958,0.5344
"LABO","20330_SE",20330,"SE","Kootenay Region",49.3813,-117.67793,8,1,TRUE,0.2749,0.3154,0.2006,0.4577
"LABO","206394_NE",206394,"NE","Northern Region",53.63655,-132.05056,4,0,FALSE,0.1746,0.4087,0.251,0.616
"LABO","206394_NW",206394,"NW","Northern Region",53.6372,-132.16251,4,0,FALSE,0.0797,0.1851,0.0846,0.3185
"LABO","206394_SE",206394,"SE","Northern Region",53.60877,-131.99988,4,0,FALSE,0.1108,0.3494,0.2038,0.548
"LABO","206394_SW",206394,"SW","Northern Region",53.57324,-132.11579,4,1,TRUE,0.3728,0.2577,0.1524,0.4007
"LABO","20730_NE",20730,"NE","Northern Region",56.79525,-124.90059,3,3,TRUE,1,0.7046,0.3936,0.9531
"LABO","20730_NW",20730,"NW","Northern Region",56.79948,-124.97614,3,2,TRUE,0.8991,0.6523,0.3956,0.9073
"LABO","20730_SE",20730,"SE","Northern Region",56.78457,-124.88544,3,2,TRUE,0.8682,0.5724,0.3902,0.7775
"LABO","20730_SW",20730,"SW","Northern Region",56.76456,-124.98588,2,1,TRUE,0.7881,0.6029,0.4207,0.7978
"LABO","212266_NE",212266,"NE","Okanagan Region",50.751409,-120.480005,9,3,TRUE,0.8398,0.3439,0.178,0.5515
