"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"LACI","175354_SW",175354,"SW","Northern Region",59.40931,-126.09868,5,2,TRUE,0.4101,0.3382,0.226,0.4518
"LACI","17706_NW",17706,"NW","Northern Region",51.97601,-120.10368,2,0,FALSE,0.0542,0.1883,0.1158,0.2757
"LACI","17706_SE",17706,"SE","Northern Region",51.9408,-120.01683,5,1,TRUE,0.238,0.1673,0.1001,0.2459
"LACI","17706_SW",17706,"SW","Northern Region",51.94316,-120.06784,4,3,TRUE,0.7608,0.2487,0.177,0.3254
"LACI","186330_NE",186330,"NE","Northern Region",55.95727,-122.58949,2,0,FALSE,0.008,0.1989,0.1119,0.3109
"LACI","186330_NW",186330,"NW","Northern Region",55.94606,-122.65922,2,0,FALSE,0.0191,0.2302,0.1592,0.3103
"LACI","186490_NW",186490,"NW","Northern Region",54.754,-127.12678,8,3,TRUE,0.3924,0.3581,0.2661,0.4512
"LACI","186490_SE",186490,"SE","Northern Region",54.72257,-126.99742,6,1,TRUE,0.1802,0.2567,0.1901,0.3318
"LACI","186490_SW",186490,"SW","Northern Region",54.72278,-127.05397,9,5,TRUE,0.5697,0.3508,0.2574,0.4476
"LACI","194666_NE",194666,"NE","Okanagan Region",50.23014,-119.32344,6,3,TRUE,0.6264,0.8503,0.7558,0.9235
"LACI","194666_SW",194666,"SW","Okanagan Region",50.16915,-119.41081,6,4,TRUE,0.7853,0.792,0.6813,0.886
"LACI","20330_NE",20330,"NE","Kootenay Region",49.42454,-117.72865,7,2,TRUE,0.4832,0.679,0.5848,0.7663
"LACI","20330_SE",20330,"SE","Kootenay Region",49.3813,-117.67793,8,7,TRUE,0.9107,0.7113,0.6061,0.8065
"LACI","206394_NE",206394,"NE","Northern Region",53.63655,-132.05056,4,0,FALSE,0.0073,0.3219,0.1988,0.4593
"LACI","206394_NW",206394,"NW","Northern Region",53.6372,-132.16251,4,0,FALSE,0.0077,0.2633,0.1564,0.3842
"LACI","206394_SE",206394,"SE","Northern Region",53.60877,-131.99988,4,0,FALSE,0.0064,0.3832,0.2585,0.5207
"LACI","206394_SW",206394,"SW","Northern Region",53.57324,-132.11579,4,0,FALSE,0.0052,0.2852,0.1904,0.3902
"LACI","20730_NE",20730,"NE","Northern Region",56.79525,-124.90059,3,1,TRUE,0.3416,0.2894,0.1571,0.4388
"LACI","20730_NW",20730,"NW","Northern Region",56.79948,-124.97614,3,0,FALSE,0.0037,0.1823,0.1005,0.2881
"LACI","20730_SE",20730,"SE","Northern Region",56.78457,-124.88544,3,0,FALSE,0.0087,0.2694,0.2024,0.3423
"LACI","20730_SW",20730,"SW","Northern Region",56.76456,-124.98588,2,0,FALSE,0.0084,0.2588,0.1956,0.3286
"LACI","212266_NE",212266,"NE","Okanagan Region",50.751409,-120.480005,9,7,TRUE,0.8859,0.8647,0.7606,0.9396
"LACI","212266_NW",212266,"NW","Okanagan Region",50.777508,-120.5598176,8,2,TRUE,0.2945,0.7583,0.6319,0.8619
"LACI","212266_SE",212266,"SE","Okanagan Region",50.714878,-120.492405,8,5,TRUE,0.7252,0.8785,0.7945,0.9418
"LACI","212266_SW",212266,"SW","Okanagan Region",50.732357,-120.521811,8,6,TRUE,0.9544,0.8755,0.7911,0.939
"LACI","212906_NW",212906,"NW","South Coastal Region",49.36971,-124.79984,7,1,TRUE,0.3239,0.7618,0.6422,0.8658
"LACI","212906_SE",212906,"SE","South Coastal Region",49.35175,-124.74136,7,4,TRUE,0.7567,0.8291,0.7182,0.923
"LACI","212906_SW",212906,"SW","South Coastal Region",49.33595,-124.7423,6,4,TRUE,0.7599,0.8006,0.7026,0.8918
"LACI","216746_NW",216746,"NW","South Coastal Region",49.10675,-125.78544,5,0,FALSE,0.4528,0.8931,0.7879,0.9622
"LACI","216746_SE",216746,"SE","South Coastal Region",49.07768,-125.74644,8,0,FALSE,0.1989,0.7684,0.6323,0.8811
"LACI","218282_SE",218282,"SE","Kootenay Region",50.13833,-117.55672,5,3,TRUE,0.6173,0.5893,0.4239,0.738
"LACI","218282_SW",218282,"SW","Kootenay Region",50.15094,-117.6221,6,4,TRUE,0.6897,0.7274,0.6182,0.8248
"LACI","219626_SW",219626,"SW","South Coastal Region",48.92819,-125.25,2,0,FALSE,0.0241,0.7903,0.6501,0.9004
"LACI","226090_NE",226090,"NE","Okanagan Region",50.10929,-120.45236,6,0,FALSE,0.0504,0.7309,0.5579,0.8659
"LACI","226090_NW",226090,"NW","Okanagan Region",50.0999,-120.50647,7,7,TRUE,1,0.8564,0.7527,0.9286
"LACI","226090_SE",226090,"SE","Okanagan Region",50.07156,-120.42266,6,1,TRUE,0.2613,0.73,0.5617,0.8649
"LACI","230186_NE",230186,"NE","Okanagan Region",49.01457,-121.07198,5,5,TRUE,1,0.8209,0.7025,0.9124
"LACI","230186_SE",230186,"SE","Okanagan Region",48.97511,-121.08329,6,6,TRUE,1,0.776,0.5733,0.9207
"LACI","241002_NE",241002,"NE","Kootenay Region",51.03817,-118.1357,9,0,FALSE,0.0136,0.4846,0.3152,0.6657
"LACI","241002_NW",241002,"NW","Kootenay Region",51.01597,-118.20292,9,4,TRUE,0.549,0.7782,0.6784,0.8648
"LACI","243562_NE",243562,"NE","Kootenay Region",49.69966,-115.98498,7,2,TRUE,0.3424,0.5316,0.3791,0.6763
"LACI","243562_SE",243562,"SE","Kootenay Region",49.65068,-115.94692,6,0,FALSE,0.0521,0.6302,0.5086,0.7426
"LACI","252394_NW",252394,"NW","South Coastal Region",48.79865,-125.16568,2,0,FALSE,0.0262,0.8384,0.7437,0.9162
"LACI","26170_NE",26170,"NE","Northern Region",53.62052,-132.20883,4,0,FALSE,0.0138,0.3578,0.2566,0.4601
"LACI","26170_NW",26170,"NW","Northern Region",53.60452,-132.28837,3,0,FALSE,0.0067,0.2828,0.1806,0.3982
"LACI","26170_SE",26170,"SE","Northern Region",53.58901,-132.17695,4,1,TRUE,0.2594,0.3348,0.2394,0.4365
"LACI","26170_SW",26170,"SW","Northern Region",53.56895,-132.23042,4,0,FALSE,0.0298,0.3663,0.256,0.4705
"LACI","265749_NE",265749,"NE","Okanagan Region",49.15892,-119.03758,6,6,TRUE,1,0.6285,0.4374,0.7936
"LACI","265749_NW",265749,"NW","Okanagan Region",49.16674,-119.10324,8,7,TRUE,0.9793,0.7532,0.5689,0.8861
"LACI","265749_SE",265749,"SE","Okanagan Region",49.11153,-118.97698,8,8,TRUE,1,0.827,0.7336,0.8999
"LACI","265749_SW",265749,"SW","Okanagan Region",49.11337,-119.05299,8,8,TRUE,1,0.6797,0.4937,0.8327
"LACI","268521_NE",268521,"NE","Kootenay Region",49.49916,-115.03962,6,6,TRUE,1,0.6901,0.574,0.7996
"LACI","268521_NW",268521,"NW","Kootenay Region",49.48855,-115.09812,6,4,TRUE,0.7717,0.6502,0.5519,0.742
"LACI","268521_SE",268521,"SE","Kootenay Region",49.44083,-115.05634,7,5,TRUE,0.9245,0.7171,0.5183,0.8722
"LACI","269777_NW",269777,"NW","Northern Region",57.04083,-122.86281,4,0,FALSE,0.0051,0.1232,0.0534,0.2253
"LACI","269777_SW",269777,"SW","Northern Region",57.01497,-122.80521,4,1,TRUE,0.2613,0.2452,0.1716,0.3268
"LACI","271731_SW",271731,"SW","Kootenay Region",51.24146,-117.64962,9,3,TRUE,0.4828,0.6847,0.5771,0.7821
"LACI","273050_SE",273050,"SE","South Coastal Region",49.00511,-125.65145,3,1,TRUE,0.6248,0.8048,0.6951,0.8962
"LACI","283586_NE",283586,"NE","Northern Region",54.3558,-128.5366,6,0,FALSE,0.0202,0.2474,0.1474,0.3635
"LACI","283586_NW",283586,"NW","Northern Region",54.3321,-128.6266,8,2,TRUE,0.2684,0.2641,0.1728,0.3673
"LACI","283586_SE",283586,"SE","Northern Region",54.31162,-128.54374,8,1,TRUE,0.1515,0.3268,0.1812,0.4954
"LACI","283586_SW",283586,"SW","Northern Region",54.2946,-128.581,8,3,TRUE,0.3915,0.2597,0.1595,0.369
