"species","scope","n_detections","psi_first","psi_last","slope","slope_lo95","slope_hi95","change","change_lo95","change_hi95","p_increase"
"ANPA","BC (all sites)",80,0.4456,0.1576,-0.02166,-0.05829,0.00248,-0.2881,-0.5189,-0.0378,0.0104
"ANPA","BC (surveyed sites)",80,0.4286,0.1914,-0.0167,-0.05184,0.0071,-0.2372,-0.512,0.0057,0.0304
"ANPA","BC (region-weighted)",80,0.4439,0.1975,-0.01804,-0.05472,0.00629,-0.2464,-0.4815,-0.0122,0.0189
"ANPA","Kootenay Region",43,0.3356,0.4692,0.02909,-0.03462,0.0812,0.1337,-0.4615,0.4872,0.7051
"ANPA","Northern Region",0,0.4565,0.0058,-0.03801,-0.0825,-0.00417,-0.4507,-0.9,-0.05,0.0018
"ANPA","Okanagan Region",37,0.5079,0.3095,-0.02456,-0.07424,0.01717,-0.1984,-0.6364,0.2424,0.1547
"ANPA","South Coastal Region",0,0.4755,0.0054,-0.03869,-0.08413,-0.00252,-0.4701,-0.9245,-0.0377,0.0047
