"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"MYLU","17706_NW",17706,"NW","Northern Region",51.97601,-120.10368,2,1,TRUE,0.9348,0.9779,0.949,0.9934
"MYLU","17706_SE",17706,"SE","Northern Region",51.9408,-120.01683,5,5,TRUE,1,0.9668,0.9264,0.9891
"MYLU","17706_SW",17706,"SW","Northern Region",51.94316,-120.06784,4,4,TRUE,1,0.9519,0.9076,0.9814
"MYLU","186330_NE",186330,"NE","Northern Region",55.95727,-122.58949,2,2,TRUE,1,0.9829,0.9544,0.9962
"MYLU","186330_NW",186330,"NW","Northern Region",55.94606,-122.65922,2,2,TRUE,1,0.974,0.9423,0.9918
"MYLU","186490_NW",186490,"NW","Northern Region",54.754,-127.12678,8,8,TRUE,1,0.9438,0.8828,0.9802
"MYLU","186490_SE",186490,"SE","Northern Region",54.72257,-126.99742,6,6,TRUE,1,0.969,0.9367,0.9888
"MYLU","186490_SW",186490,"SW","Northern Region",54.72278,-127.05397,9,9,TRUE,1,0.9639,0.9242,0.9882
"MYLU","194666_NE",194666,"NE","Okanagan Region",50.23014,-119.32344,6,6,TRUE,1,0.8581,0.7762,0.923
"MYLU","194666_SW",194666,"SW","Okanagan Region",50.16915,-119.41081,6,5,TRUE,0.8382,0.8539,0.7769,0.9151
"MYLU","20330_NE",20330,"NE","Kootenay Region",49.42454,-117.72865,7,6,TRUE,0.8575,0.9213,0.8717,0.9586
"MYLU","20330_SE",20330,"SE","Kootenay Region",49.3813,-117.67793,8,7,TRUE,0.9137,0.8928,0.8091,0.9479
"MYLU","206394_NE",206394,"NE","Northern Region",53.63655,-132.05056,4,4,TRUE,1,0.9788,0.9344,0.9956
"MYLU","206394_NW",206394,"NW","Northern Region",53.6372,-132.16251,4,4,TRUE,1,0.884,0.7379,0.9649
"MYLU","206394_SE",206394,"SE","Northern Region",53.60877,-131.99988,4,4,TRUE,1,0.9799,0.9404,0.9962
"MYLU","206394_SW",206394,"SW","Northern Region",53.57324,-132.11579,4,4,TRUE,1,0.9447,0.8729,0.9821
"MYLU","20730_NE",20730,"NE","Northern Region",56.79525,-124.90059,3,3,TRUE,1,0.9861,0.9577,0.9978
"MYLU","20730_NW",20730,"NW","Northern Region",56.79948,-124.97614,3,3,TRUE,1,0.9756,0.9364,0.9944
"MYLU","20730_SE",20730,"SE","Northern Region",56.78457,-124.88544,3,3,TRUE,1,0.9662,0.9318,0.9873
"MYLU","20730_SW",20730,"SW","Northern Region",56.76456,-124.98588,2,2,TRUE,1,0.9687,0.9366,0.9884
"MYLU","212266_NE",212266,"NE","Okanagan Region",50.751409,-120.480005,9,8,TRUE,0.9105,0.9082,0.8263,0.9626
"MYLU","212266_NW",212266,"NW","Okanagan Region",50.777508,-120.5598176,8,6,TRUE,0.7749,0.8697,0.8011,0.9265
"MYLU","212266_SE",212266,"SE","Okanagan Region",50.714878,-120.492405,8,5,TRUE,0.6296,0.9096,0.8414,0.955
"MYLU","212266_SW",212266,"SW","Okanagan Region",50.732357,-120.521811,8,7,TRUE,0.9233,0.9125,0.8462,0.9562
"MYLU","212906_NW",212906,"NW","South Coastal Region",49.36971,-124.79984,7,6,TRUE,0.8656,0.8246,0.7112,0.9062
"MYLU","212906_SE",212906,"SE","South Coastal Region",49.35175,-124.74136,7,7,TRUE,1,0.8781,0.7643,0.9504
