"species","scope","n_detections","psi_first","psi_last","slope","slope_lo95","slope_hi95","change","change_lo95","change_hi95","p_increase"
"MYTH","BC (all sites)",241,0.2533,0.1747,-0.00716,-0.01757,0.00171,-0.0786,-0.2,0.0162,0.0544
"MYTH","BC (surveyed sites)",241,0.2236,0.1902,-0.00358,-0.01249,0.00335,-0.0334,-0.1427,0.0445,0.2384
"MYTH","BC (region-weighted)",241,0.3088,0.2054,-0.01017,-0.02107,-4e-04,-0.1034,-0.2234,6e-04,0.0258
"MYTH","Kootenay Region",49,0.311,0.2502,-0.0071,-0.03419,0.0188,-0.0607,-0.3077,0.1795,0.268
"MYTH","Northern Region",1,0.103,0.0264,-0.00567,-0.02417,0.00376,-0.0766,-0.3167,0.0333,0.1636
"MYTH","Okanagan Region",176,0.7488,0.396,-0.03861,-0.0596,-0.01717,-0.3528,-0.5758,-0.1212,0.0016
"MYTH","South Coastal Region",15,0.0724,0.1491,0.01068,-0.0066,0.02469,0.0767,-0.1509,0.2264,0.8184
