"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"MYCA","175354_SW",175354,"SW","Northern Region",59.40931,-126.09868,5,0,FALSE,0.0117,0.24,0.1283,0.3769
"MYCA","17706_NW",17706,"NW","Northern Region",51.97601,-120.10368,2,1,TRUE,0.6053,0.1798,0.1025,0.2774
"MYCA","17706_SE",17706,"SE","Northern Region",51.9408,-120.01683,5,5,TRUE,1,0.245,0.1462,0.3658
"MYCA","17706_SW",17706,"SW","Northern Region",51.94316,-120.06784,4,3,TRUE,0.7842,0.1928,0.1212,0.2751
"MYCA","186330_NE",186330,"NE","Northern Region",55.95727,-122.58949,2,0,FALSE,1e-04,0.247,0.1367,0.3796
"MYCA","186330_NW",186330,"NW","Northern Region",55.94606,-122.65922,2,0,FALSE,4e-04,0.2911,0.1954,0.396
"MYCA","186490_NW",186490,"NW","Northern Region",54.754,-127.12678,8,4,TRUE,0.5467,0.2899,0.1769,0.413
"MYCA","186490_SE",186490,"SE","Northern Region",54.72257,-126.99742,6,0,FALSE,0.0034,0.2016,0.1343,0.2794
"MYCA","186490_SW",186490,"SW","Northern Region",54.72278,-127.05397,9,5,TRUE,0.5815,0.3097,0.2013,0.4309
"MYCA","194666_NE",194666,"NE","Okanagan Region",50.23014,-119.32344,6,5,TRUE,0.9017,0.8347,0.7453,0.9066
"MYCA","194666_SW",194666,"SW","Okanagan Region",50.16915,-119.41081,6,4,TRUE,0.711,0.6867,0.5599,0.7976
"MYCA","20330_NE",20330,"NE","Kootenay Region",49.42454,-117.72865,7,5,TRUE,0.7529,0.7361,0.6464,0.8142
"MYCA","20330_SE",20330,"SE","Kootenay Region",49.3813,-117.67793,8,7,TRUE,0.9395,0.8243,0.7438,0.8933
"MYCA","206394_NE",206394,"NE","Northern Region",53.63655,-132.05056,4,2,TRUE,0.527,0.6246,0.4519,0.7762
"MYCA","206394_NW",206394,"NW","Northern Region",53.6372,-132.16251,4,3,TRUE,0.7652,0.6318,0.4554,0.782
"MYCA","206394_SE",206394,"SE","Northern Region",53.60877,-131.99988,4,3,TRUE,0.7674,0.6573,0.497,0.7954
"MYCA","206394_SW",206394,"SW","Northern Region",53.57324,-132.11579,4,3,TRUE,0.7623,0.5443,0.398,0.6835
"MYCA","20730_NE",20730,"NE","Northern Region",56.79525,-124.90059,3,0,FALSE,0.0012,0.3895,0.2258,0.5691
"MYCA","20730_NW",20730,"NW","Northern Region",56.79948,-124.97614,3,0,FALSE,0.0011,0.3553,0.2112,0.5137
"MYCA","20730_SE",20730,"SE","Northern Region",56.78457,-124.88544,3,0,FALSE,0.0026,0.2519,0.1768,0.3369
"MYCA","20730_SW",20730,"SW","Northern Region",56.76456,-124.98588,2,0,FALSE,0.0036,0.2399,0.1683,0.3215
"MYCA","212266_NE",212266,"NE","Okanagan Region",50.751409,-120.480005,9,8,TRUE,0.9399,0.7815,0.6425,0.8899
"MYCA","212266_NW",212266,"NW","Okanagan Region",50.777508,-120.5598176,8,7,TRUE,0.9263,0.6142,0.475,0.7417
"MYCA","212266_SE",212266,"SE","Okanagan Region",50.714878,-120.492405,8,4,TRUE,0.5403,0.8796,0.8029,0.9383
"MYCA","212266_SW",212266,"SW","Okanagan Region",50.732357,-120.521811,8,7,TRUE,0.9671,0.8797,0.8039,0.9375
"MYCA","212906_NW",212906,"NW","South Coastal Region",49.36971,-124.79984,7,6,TRUE,0.912,0.9147,0.857,0.9606
"MYCA","212906_SE",212906,"SE","South Coastal Region",49.35175,-124.74136,7,7,TRUE,1,0.9021,0.8248,0.9586
"MYCA","212906_SW",212906,"SW","South Coastal Region",49.33595,-124.7423,6,5,TRUE,0.8646,0.8796,0.8023,0.9418
"MYCA","216746_NW",216746,"NW","South Coastal Region",49.10675,-125.78544,5,4,TRUE,0.8304,0.9551,0.903,0.9861
"MYCA","216746_SE",216746,"SE","South Coastal Region",49.07768,-125.74644,8,5,TRUE,0.7133,0.8598,0.7646,0.9321
"MYCA","218282_SE",218282,"SE","Kootenay Region",50.13833,-117.55672,5,4,TRUE,0.8906,0.8794,0.7911,0.9435
"MYCA","218282_SW",218282,"SW","Kootenay Region",50.15094,-117.6221,6,6,TRUE,1,0.831,0.7481,0.8973
"MYCA","219626_SW",219626,"SW","South Coastal Region",48.92819,-125.25,2,2,TRUE,1,0.8797,0.7872,0.943
"MYCA","226090_NE",226090,"NE","Okanagan Region",50.10929,-120.45236,6,2,TRUE,0.5005,0.5759,0.4072,0.7319
"MYCA","226090_NW",226090,"NW","Okanagan Region",50.0999,-120.50647,7,4,TRUE,0.6569,0.8488,0.7574,0.9192
"MYCA","226090_SE",226090,"SE","Okanagan Region",50.07156,-120.42266,6,2,TRUE,0.4411,0.5347,0.3727,0.6966
"MYCA","230186_NE",230186,"NE","Okanagan Region",49.01457,-121.07198,5,4,TRUE,0.8412,0.8207,0.717,0.9039
"MYCA","230186_SE",230186,"SE","Okanagan Region",48.97511,-121.08329,6,6,TRUE,1,0.7395,0.5542,0.8758
"MYCA","241002_NE",241002,"NE","Kootenay Region",51.03817,-118.1357,9,3,TRUE,0.3463,0.3003,0.16,0.4646
"MYCA","241002_NW",241002,"NW","Kootenay Region",51.01597,-118.20292,9,4,TRUE,0.4872,0.8353,0.741,0.9083
"MYCA","243562_NE",243562,"NE","Kootenay Region",49.69966,-115.98498,7,4,TRUE,0.5855,0.7402,0.6021,0.8582
"MYCA","243562_SE",243562,"SE","Kootenay Region",49.65068,-115.94692,6,3,TRUE,0.5309,0.6405,0.5205,0.7485
"MYCA","252394_NW",252394,"NW","South Coastal Region",48.79865,-125.16568,2,2,TRUE,1,0.9233,0.8671,0.9655
"MYCA","26170_NE",26170,"NE","Northern Region",53.62052,-132.20883,4,3,TRUE,0.7626,0.614,0.4748,0.7416
"MYCA","26170_NW",26170,"NW","Northern Region",53.60452,-132.28837,3,3,TRUE,1,0.6207,0.4633,0.7621
"MYCA","26170_SE",26170,"SE","Northern Region",53.58901,-132.17695,4,4,TRUE,1,0.5725,0.4335,0.7033
"MYCA","26170_SW",26170,"SW","Northern Region",53.56895,-132.23042,4,4,TRUE,1,0.5556,0.3915,0.7088
"MYCA","265749_NE",265749,"NE","Okanagan Region",49.15892,-119.03758,6,6,TRUE,1,0.715,0.5336,0.8432
"MYCA","265749_NW",265749,"NW","Okanagan Region",49.16674,-119.10324,8,8,TRUE,1,0.7309,0.5758,0.8567
"MYCA","265749_SE",265749,"SE","Okanagan Region",49.11153,-118.97698,8,8,TRUE,1,0.8275,0.7438,0.895
"MYCA","265749_SW",265749,"SW","Okanagan Region",49.11337,-119.05299,8,8,TRUE,1,0.7885,0.6329,0.8963
"MYCA","268521_NE",268521,"NE","Kootenay Region",49.49916,-115.03962,6,3,TRUE,0.6025,0.744,0.6275,0.8402
"MYCA","268521_NW",268521,"NW","Kootenay Region",49.48855,-115.09812,6,1,TRUE,0.1866,0.6521,0.5514,0.746
"MYCA","268521_SE",268521,"SE","Kootenay Region",49.44083,-115.05634,7,4,TRUE,0.6639,0.8371,0.6984,0.9296
"MYCA","269777_NW",269777,"NW","Northern Region",57.04083,-122.86281,4,0,FALSE,0.006,0.0451,0.0148,0.0992
"MYCA","269777_SW",269777,"SW","Northern Region",57.01497,-122.80521,4,0,FALSE,0.0157,0.1476,0.0872,0.2183
"MYCA","271731_SW",271731,"SW","Kootenay Region",51.24146,-117.64962,9,0,FALSE,0.0168,0.6291,0.5136,0.7383
"MYCA","273050_SE",273050,"SE","South Coastal Region",49.00511,-125.65145,3,2,TRUE,0.7093,0.8894,0.8168,0.9447
"MYCA","283586_NE",283586,"NE","Northern Region",54.3558,-128.5366,6,4,TRUE,0.7426,0.5913,0.4153,0.7473
"MYCA","283586_NW",283586,"NW","Northern Region",54.3321,-128.6266,8,4,TRUE,0.6053,0.6051,0.4571,0.7396
"MYCA","283586_SE",283586,"SE","Northern Region",54.31162,-128.54374,8,6,TRUE,0.8743,0.6802,0.4922,0.8317
"MYCA","283586_SW",283586,"SW","Northern Region",54.2946,-128.581,8,1,TRUE,0.1631,0.5421,0.3729,0.7001
"MYCA","294832_NE",294832,"NE","Northern Region",56.3348,-120.97877,8,0,FALSE,0.0071,0.283,0.1744,0.4103
"MYCA","294832_NW",294832,"NW","Northern Region",56.33264,-121.00747,8,0,FALSE,0.0011,0.2523,0.166,0.3525
"MYCA","294832_SE",294832,"SE","Northern Region",56.30206,-120.94608,6,0,FALSE,0.0045,0.185,0.1129,0.269
"MYCA","294832_SW",294832,"SW","Northern Region",56.30496,-121.00198,7,0,FALSE,0.0025,0.1577,0.0844,0.2484
"MYCA","317428_NE",317428,"NE","South Coastal Region",49.06292,-120.79944,8,6,TRUE,0.7724,0.5415,0.3536,0.7142
"MYCA","317428_NW",317428,"NW","South Coastal Region",49.06417,-120.90943,8,1,TRUE,0.1422,0.4016,0.211,0.6119
"MYCA","317428_SE",317428,"SE","South Coastal Region",49.06053,-120.77309,7,5,TRUE,0.7775,0.5706,0.3854,0.7399
"MYCA","317428_SW",317428,"SW","South Coastal Region",49.04617,-120.85085,6,6,TRUE,1,0.5403,0.2877,0.7696
"MYCA","326072_NE",326072,"NE","South Coastal Region",49.09743,-122.51957,7,5,TRUE,0.8998,0.8636,0.7878,0.927
"MYCA","326072_NW",326072,"NW","South Coastal Region",49.05235,-122.58989,9,7,TRUE,0.8996,0.8684,0.7933,0.9305
"MYCA","326072_SE",326072,"SE","South Coastal Region",49.0144,-122.52755,6,5,TRUE,0.9389,0.8778,0.8072,0.9363
"MYCA","326072_SW",326072,"SW","South Coastal Region",49.01082,-122.58104,9,9,TRUE,1,0.9356,0.8828,0.9746
"MYCA","37274_NE",37274,"NE","Northern Region",53.08874,-119.20318,6,0,FALSE,0.0024,0.1559,0.0761,0.2711
"MYCA","37274_SE",37274,"SE","Northern Region",53.05051,-119.21418,5,2,TRUE,0.4049,0.1808,0.1097,0.2668
"MYCA","37274_SW",37274,"SW","Northern Region",53.03564,-119.22895,6,1,TRUE,0.1943,0.1538,0.0808,0.2452
"MYCA","38442_NW",38442,"NW","Okanagan Region",51.51999,-122.28978,6,6,TRUE,1,0.8924,0.8242,0.9441
"MYCA","38442_SW",38442,"SW","Okanagan Region",51.50238,-122.28992,7,4,TRUE,0.7877,0.8935,0.8255,0.9448
