"species","scope","n_detections","psi_first","psi_last","slope","slope_lo95","slope_hi95","change","change_lo95","change_hi95","p_increase"
"LACI","BC (all sites)",1393,0.6371,0.7015,0.00425,-0.00541,0.01369,0.0644,-0.0486,0.1676,0.8664
"LACI","BC (surveyed sites)",1393,0.6495,0.6997,0.00079,-0.00517,0.00678,0.0502,-0.0227,0.1075,0.9389
"LACI","BC (region-weighted)",1393,0.659,0.7328,0.0053,-0.00399,0.01467,0.0739,-0.0291,0.1766,0.9249
"LACI","Kootenay Region",374,0.547,0.7705,0.0239,0.0047,0.04402,0.2234,0.0256,0.4103,0.9847
"LACI","Northern Region",123,0.3497,0.4212,0.00466,-0.01528,0.02194,0.0715,-0.2,0.2833,0.7007
"LACI","Okanagan Region",399,0.8315,0.887,0.00171,-0.01364,0.02071,0.0555,-0.0909,0.2727,0.6464
"LACI","South Coastal Region",497,0.9076,0.8526,-0.00907,-0.02264,0.0066,-0.055,-0.1887,0.1132,0.1951
