"species","scope","n_detections","psi_first","psi_last","slope","slope_lo95","slope_hi95","change","change_lo95","change_hi95","p_increase"
"MYEV","BC (all sites)",1816,0.6863,0.8497,0.02189,0.01171,0.03198,0.1634,0.0541,0.2703,0.9993
"MYEV","BC (surveyed sites)",1816,0.6826,0.8652,0.02645,0.01868,0.03313,0.1826,0.0977,0.2453,1
"MYEV","BC (region-weighted)",1816,0.6975,0.8728,0.02244,0.01273,0.03226,0.1753,0.07,0.2798,1
"MYEV","Kootenay Region",498,0.7072,0.9398,0.02685,0.01197,0.04274,0.2326,0.0513,0.4103,0.9956
"MYEV","Northern Region",488,0.7646,0.7328,0.00191,-0.01667,0.02139,-0.0318,-0.2333,0.2,0.3422
"MYEV","Okanagan Region",378,0.8179,0.9901,0.01727,0.00152,0.03434,0.1723,0,0.3939,0.9616
"MYEV","South Coastal Region",452,0.5004,0.8283,0.04375,0.02484,0.06226,0.3279,0.1132,0.5283,0.9984
