"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"MYEV","175354_SW",175354,"SW","Northern Region",59.40931,-126.09868,5,5,TRUE,1,0.6184,0.4437,0.7739
"MYEV","17706_NW",17706,"NW","Northern Region",51.97601,-120.10368,2,1,TRUE,0.6833,0.7733,0.6776,0.8559
"MYEV","17706_SE",17706,"SE","Northern Region",51.9408,-120.01683,5,3,TRUE,0.6964,0.8039,0.7121,0.8809
"MYEV","17706_SW",17706,"SW","Northern Region",51.94316,-120.06784,4,3,TRUE,0.81,0.7485,0.6598,0.8285
"MYEV","186330_NE",186330,"NE","Northern Region",55.95727,-122.58949,2,2,TRUE,1,0.8121,0.7271,0.8899
"MYEV","186330_NW",186330,"NW","Northern Region",55.94606,-122.65922,2,0,FALSE,0.079,0.8113,0.7388,0.8763
"MYEV","186490_NW",186490,"NW","Northern Region",54.754,-127.12678,8,8,TRUE,1,0.6945,0.5617,0.8104
"MYEV","186490_SE",186490,"SE","Northern Region",54.72257,-126.99742,6,4,TRUE,0.7396,0.7733,0.7003,0.8405
"MYEV","186490_SW",186490,"SW","Northern Region",54.72278,-127.05397,9,5,TRUE,0.6115,0.7469,0.6426,0.8357
"MYEV","194666_NE",194666,"NE","Okanagan Region",50.23014,-119.32344,6,4,TRUE,0.6971,0.8038,0.7019,0.8888
"MYEV","194666_SW",194666,"SW","Okanagan Region",50.16915,-119.41081,6,5,TRUE,0.9273,0.8063,0.7155,0.8841
"MYEV","20330_NE",20330,"NE","Kootenay Region",49.42454,-117.72865,7,6,TRUE,0.9246,0.8671,0.8077,0.9196
"MYEV","20330_SE",20330,"SE","Kootenay Region",49.3813,-117.67793,8,5,TRUE,0.7539,0.8554,0.7583,0.9245
"MYEV","206394_NE",206394,"NE","Northern Region",53.63655,-132.05056,4,2,TRUE,0.5626,0.7076,0.5394,0.8404
"MYEV","206394_NW",206394,"NW","Northern Region",53.6372,-132.16251,4,3,TRUE,0.8395,0.753,0.5409,0.9025
"MYEV","206394_SE",206394,"SE","Northern Region",53.60877,-131.99988,4,2,TRUE,0.6082,0.7242,0.5676,0.8487
