"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"LANO","17706_SE",17706,"SE","Northern Region",51.9408,-120.01683,5,5,TRUE,1,0.7591,0.6409,0.852
"LANO","17706_SW",17706,"SW","Northern Region",51.94316,-120.06784,4,4,TRUE,1,0.6734,0.5519,0.7758
"LANO","186330_NE",186330,"NE","Northern Region",55.95727,-122.58949,2,2,TRUE,1,0.774,0.6511,0.8719
"LANO","186330_NW",186330,"NW","Northern Region",55.94606,-122.65922,2,1,TRUE,0.5067,0.8087,0.7196,0.8808
"LANO","186490_NW",186490,"NW","Northern Region",54.754,-127.12678,8,8,TRUE,1,0.745,0.6004,0.8598
"LANO","186490_SE",186490,"SE","Northern Region",54.72257,-126.99742,6,6,TRUE,1,0.7223,0.6207,0.8092
"LANO","186490_SW",186490,"SW","Northern Region",54.72278,-127.05397,9,9,TRUE,1,0.7975,0.679,0.8905
"LANO","194666_NE",194666,"NE","Okanagan Region",50.23014,-119.32344,6,6,TRUE,1,0.9418,0.8898,0.9744
"LANO","194666_SW",194666,"SW","Okanagan Region",50.16915,-119.41081,6,5,TRUE,0.8456,0.8765,0.7957,0.9352
"LANO","20330_NE",20330,"NE","Kootenay Region",49.42454,-117.72865,7,7,TRUE,1,0.8136,0.7432,0.8741
"LANO","20330_SE",20330,"SE","Kootenay Region",49.3813,-117.67793,8,7,TRUE,0.8874,0.8557,0.7819,0.9154
"LANO","206394_NE",206394,"NE","Northern Region",53.63655,-132.05056,4,4,TRUE,1,0.9017,0.8163,0.956
"LANO","206394_NW",206394,"NW","Northern Region",53.6372,-132.16251,4,4,TRUE,1,0.9005,0.782,0.9684
"LANO","206394_SE",206394,"SE","Northern Region",53.60877,-131.99988,4,4,TRUE,1,0.9216,0.8443,0.9683
"LANO","206394_SW",206394,"SW","Northern Region",53.57324,-132.11579,4,4,TRUE,1,0.8783,0.7838,0.9426
"LANO","20730_NE",20730,"NE","Northern Region",56.79525,-124.90059,3,3,TRUE,1,0.8464,0.7154,0.9319
"LANO","20730_NW",20730,"NW","Northern Region",56.79948,-124.97614,3,3,TRUE,1,0.8433,0.7351,0.9224
"LANO","20730_SE",20730,"SE","Northern Region",56.78457,-124.88544,3,1,TRUE,0.3395,0.7673,0.6756,0.8434
"LANO","20730_SW",20730,"SW","Northern Region",56.76456,-124.98588,2,0,FALSE,0.0032,0.7569,0.6668,0.8312
"LANO","212266_NE",212266,"NE","Okanagan Region",50.751409,-120.480005,9,8,TRUE,0.9126,0.9274,0.8481,0.9733
"LANO","212266_NW",212266,"NW","Okanagan Region",50.777508,-120.5598176,8,6,TRUE,0.8023,0.8601,0.7731,0.9277
"LANO","212266_SE",212266,"SE","Okanagan Region",50.714878,-120.492405,8,5,TRUE,0.6394,0.9399,0.8935,0.9719
"LANO","212266_SW",212266,"SW","Okanagan Region",50.732357,-120.521811,8,7,TRUE,0.9271,0.9402,0.8954,0.9716
"LANO","212906_NW",212906,"NW","South Coastal Region",49.36971,-124.79984,7,5,TRUE,0.8937,0.9432,0.8787,0.9803
"LANO","212906_SE",212906,"SE","South Coastal Region",49.35175,-124.74136,7,7,TRUE,1,0.9419,0.8665,0.9829
"LANO","212906_SW",212906,"SW","South Coastal Region",49.33595,-124.7423,6,4,TRUE,0.9028,0.9242,0.8494,0.9719
"LANO","216746_NW",216746,"NW","South Coastal Region",49.10675,-125.78544,5,2,TRUE,0.4896,0.9678,0.9001,0.9939
"LANO","216746_SE",216746,"SE","South Coastal Region",49.07768,-125.74644,8,5,TRUE,0.6393,0.9051,0.7977,0.9677
"LANO","218282_SE",218282,"SE","Kootenay Region",50.13833,-117.55672,5,5,TRUE,1,0.9023,0.8235,0.956
"LANO","218282_SW",218282,"SW","Kootenay Region",50.15094,-117.6221,6,6,TRUE,1,0.8718,0.8065,0.925
