"species","site","GRTS_Cell_ID","Quadrant","region","lat","long","n_years_surveyed","n_years_detected","ever_detected","mean_p_occupied","mean_psi_expected","mean_psi_expected_lo95","mean_psi_expected_hi95"
"COTO","175354_SW",175354,"SW","Northern Region",59.40931,-126.09868,5,0,FALSE,0.0041,0.015,0.0022,0.0499
"COTO","17706_NW",17706,"NW","Northern Region",51.97601,-120.10368,2,0,FALSE,4e-04,0.0124,0.0019,0.0397
"COTO","17706_SE",17706,"SE","Northern Region",51.9408,-120.01683,5,0,FALSE,5e-04,0.0194,0.0036,0.0602
"COTO","17706_SW",17706,"SW","Northern Region",51.94316,-120.06784,4,0,FALSE,6e-04,0.0117,0.0024,0.033
"COTO","186330_NE",186330,"NE","Northern Region",55.95727,-122.58949,2,0,FALSE,6e-04,0.0175,0.0023,0.0657
"COTO","186330_NW",186330,"NW","Northern Region",55.94606,-122.65922,2,0,FALSE,0.0011,0.0181,0.0041,0.051
"COTO","186490_NW",186490,"NW","Northern Region",54.754,-127.12678,8,0,FALSE,0.0067,0.0171,0.0038,0.0458
"COTO","186490_SE",186490,"SE","Northern Region",54.72257,-126.99742,6,0,FALSE,0.0057,0.0124,0.0027,0.0332
"COTO","186490_SW",186490,"SW","Northern Region",54.72278,-127.05397,9,0,FALSE,0.0069,0.0194,0.0046,0.0496
"COTO","194666_NE",194666,"NE","Okanagan Region",50.23014,-119.32344,6,0,FALSE,0.1032,0.3673,0.2579,0.4876
"COTO","194666_SW",194666,"SW","Okanagan Region",50.16915,-119.41081,6,0,FALSE,0.0462,0.3155,0.2015,0.4516
"COTO","20330_NE",20330,"NE","Kootenay Region",49.42454,-117.72865,7,5,TRUE,0.927,0.5148,0.377,0.6719
"COTO","20330_SE",20330,"SE","Kootenay Region",49.3813,-117.67793,8,2,TRUE,0.7302,0.7354,0.5619,0.8789
"COTO","206394_NE",206394,"NE","Northern Region",53.63655,-132.05056,4,0,FALSE,0.003,0.0866,0.0108,0.2831
"COTO","206394_NW",206394,"NW","Northern Region",53.6372,-132.16251,4,0,FALSE,0.0118,0.1118,0.0206,0.3111
"COTO","206394_SE",206394,"SE","Northern Region",53.60877,-131.99988,4,0,FALSE,0.0028,0.0544,0.0091,0.141
"COTO","206394_SW",206394,"SW","Northern Region",53.57324,-132.11579,4,0,FALSE,0.0059,0.0676,0.0115,0.2094
"COTO","20730_NE",20730,"NE","Northern Region",56.79525,-124.90059,3,0,FALSE,0.002,0.0291,0.0034,0.0952
"COTO","20730_NW",20730,"NW","Northern Region",56.79948,-124.97614,3,0,FALSE,0.0029,0.0239,0.0046,0.0716
"COTO","20730_SE",20730,"SE","Northern Region",56.78457,-124.88544,3,0,FALSE,0.0029,0.0151,0.0036,0.0392
"COTO","20730_SW",20730,"SW","Northern Region",56.76456,-124.98588,2,0,FALSE,0.0022,0.0141,0.0033,0.0371
"COTO","212266_NE",212266,"NE","Okanagan Region",50.751409,-120.480005,9,3,TRUE,0.3528,0.2519,0.1589,0.3539
"COTO","212266_NW",212266,"NW","Okanagan Region",50.777508,-120.5598176,8,2,TRUE,0.2891,0.2256,0.145,0.3154
"COTO","212266_SE",212266,"SE","Okanagan Region",50.714878,-120.492405,8,5,TRUE,0.8172,0.4716,0.3093,0.6407
"COTO","212266_SW",212266,"SW","Okanagan Region",50.732357,-120.521811,8,7,TRUE,0.9924,0.4665,0.3099,0.6309
"COTO","212906_NW",212906,"NW","South Coastal Region",49.36971,-124.79984,7,2,TRUE,0.4293,0.4944,0.3489,0.6604
"COTO","212906_SE",212906,"SE","South Coastal Region",49.35175,-124.74136,7,3,TRUE,0.4654,0.3236,0.2164,0.438
"COTO","212906_SW",212906,"SW","South Coastal Region",49.33595,-124.7423,6,1,TRUE,0.2582,0.3685,0.2467,0.5073
"COTO","216746_NW",216746,"NW","South Coastal Region",49.10675,-125.78544,5,1,TRUE,0.2305,0.3101,0.1826,0.4674
"COTO","216746_SE",216746,"SE","South Coastal Region",49.07768,-125.74644,8,3,TRUE,0.6406,0.5178,0.3048,0.7308
"COTO","218282_SE",218282,"SE","Kootenay Region",50.13833,-117.55672,5,2,TRUE,0.8704,0.8062,0.6462,0.9266
"COTO","218282_SW",218282,"SW","Kootenay Region",50.15094,-117.6221,6,2,TRUE,0.5813,0.5306,0.3781,0.7077
"COTO","219626_SW",219626,"SW","South Coastal Region",48.92819,-125.25,2,0,FALSE,0.2393,0.5108,0.299,0.7217
"COTO","226090_NE",226090,"NE","Okanagan Region",50.10929,-120.45236,6,0,FALSE,0.0608,0.2111,0.1021,0.3598
"COTO","226090_NW",226090,"NW","Okanagan Region",50.0999,-120.50647,7,4,TRUE,0.6386,0.2688,0.1803,0.3699
"COTO","226090_SE",226090,"SE","Okanagan Region",50.07156,-120.42266,6,0,FALSE,0.064,0.1517,0.0764,0.2534
"COTO","230186_NE",230186,"NE","Okanagan Region",49.01457,-121.07198,5,2,TRUE,0.6736,0.4811,0.3039,0.6427
"COTO","230186_SE",230186,"SE","Okanagan Region",48.97511,-121.08329,6,2,TRUE,0.5967,0.3982,0.1588,0.6539
"COTO","241002_NE",241002,"NE","Kootenay Region",51.03817,-118.1357,9,0,FALSE,0.039,0.179,0.0662,0.3682
"COTO","241002_NW",241002,"NW","Kootenay Region",51.01597,-118.20292,9,1,TRUE,0.2509,0.449,0.3049,0.6367
"COTO","243562_NE",243562,"NE","Kootenay Region",49.69966,-115.98498,7,1,TRUE,0.267,0.5121,0.3559,0.682
"COTO","243562_SE",243562,"SE","Kootenay Region",49.65068,-115.94692,6,0,FALSE,0.0241,0.4718,0.3046,0.6563
"COTO","252394_NW",252394,"NW","South Coastal Region",48.79865,-125.16568,2,1,TRUE,0.968,0.5717,0.3931,0.7636
"COTO","26170_NE",26170,"NE","Northern Region",53.62052,-132.20883,4,0,FALSE,0.0033,0.0523,0.0106,0.1409
"COTO","26170_NW",26170,"NW","Northern Region",53.60452,-132.28837,3,0,FALSE,0.0037,0.0865,0.0136,0.2739
"COTO","26170_SE",26170,"SE","Northern Region",53.58901,-132.17695,4,0,FALSE,0.0026,0.0569,0.01,0.1664
"COTO","26170_SW",26170,"SW","Northern Region",53.56895,-132.23042,4,0,FALSE,0.0111,0.0644,0.0135,0.1637
"COTO","265749_NE",265749,"NE","Okanagan Region",49.15892,-119.03758,6,0,FALSE,0.2283,0.4561,0.3033,0.6206
"COTO","265749_NW",265749,"NW","Okanagan Region",49.16674,-119.10324,8,0,FALSE,0.0215,0.2243,0.1209,0.3621
"COTO","265749_SE",265749,"SE","Okanagan Region",49.11153,-118.97698,8,5,TRUE,0.7039,0.3844,0.2847,0.4955
"COTO","265749_SW",265749,"SW","Okanagan Region",49.11337,-119.05299,8,1,TRUE,0.2721,0.4209,0.287,0.5609
"COTO","268521_NE",268521,"NE","Kootenay Region",49.49916,-115.03962,6,0,FALSE,0.1145,0.3325,0.2281,0.454
"COTO","268521_NW",268521,"NW","Kootenay Region",49.48855,-115.09812,6,1,TRUE,0.249,0.4188,0.2879,0.5723
"COTO","268521_SE",268521,"SE","Kootenay Region",49.44083,-115.05634,7,1,TRUE,0.2722,0.3359,0.1992,0.5274
"COTO","269777_NW",269777,"NW","Northern Region",57.04083,-122.86281,4,0,FALSE,0.0038,0.005,4e-04,0.0227
"COTO","269777_SW",269777,"SW","Northern Region",57.01497,-122.80521,4,0,FALSE,0.0084,0.0099,0.002,0.0279
"COTO","271731_SW",271731,"SW","Kootenay Region",51.24146,-117.64962,9,3,TRUE,0.5144,0.3729,0.222,0.5622
"COTO","273050_SE",273050,"SE","South Coastal Region",49.00511,-125.65145,3,1,TRUE,0.7356,0.5295,0.3529,0.7055
