scenario,scenario_label,year,psi_mean,psi_lcl,psi_ucl
full,Full,2016,0.9428445734746885,0.8670520231213873,0.9942196531791907
full,Full,2017,0.974944893333264,0.930635838150289,1
full,Full,2018,0.9670741640638052,0.9364161849710982,0.9884393063583815
full,Full,2019,0.9541589997150004,0.930635838150289,0.9710982658959537
full,Full,2020,0.9153649468993142,0.884393063583815,0.9421965317919075
full,Full,2021,0.9491850919195965,0.9248554913294798,0.9710982658959537
full,Full,2022,0.9336823855795984,0.9132947976878613,0.953757225433526
full,Full,2023,0.9742309491064713,0.953757225433526,0.9826589595375722
full,Full,2024,0.9415421310917219,0.9132947976878613,0.9653179190751445
panel_2,2-Panel,2016,0.9331673051698234,0.838150289017341,0.9884393063583815
panel_2,2-Panel,2017,0.9711583875150521,0.9190751445086706,1
panel_2,2-Panel,2018,0.9719578894305615,0.9364161849710982,0.9942196531791907
panel_2,2-Panel,2019,0.9479028827738265,0.9075144508670521,0.976878612716763
panel_2,2-Panel,2020,0.9091527649874814,0.8670520231213873,0.9421965317919075
panel_2,2-Panel,2021,0.9466206736280565,0.9075144508670521,0.976878612716763
panel_2,2-Panel,2022,0.9246202076855085,0.8959537572254336,0.9479768786127167
panel_2,2-Panel,2023,0.9661873701821049,0.9364161849710982,0.9826589595375722
panel_2,2-Panel,2024,0.9403986641438711,0.9075144508670521,0.9653179190751445
panel_3,3-Panel,2016,0.9262215238864927,0.8323699421965318,0.9884393063583815
panel_3,3-Panel,2017,0.9662532727261165,0.9132947976878613,1
panel_3,3-Panel,2018,0.9534063232912887,0.9017341040462428,0.9826589595375722
panel_3,3-Panel,2019,0.9278679313018007,0.884393063583815,0.9595375722543352
panel_3,3-Panel,2020,0.9010733443286525,0.8497109826589595,0.9364161849710982
panel_3,3-Panel,2021,0.9603827434766598,0.9187861271676302,0.9884393063583815
panel_3,3-Panel,2022,0.9266735922147128,0.8901734104046243,0.953757225433526
panel_3,3-Panel,2023,0.9683020325153903,0.9364161849710982,0.9884393063583815
panel_3,3-Panel,2024,0.9211539651074934,0.8670520231213873,0.9595375722543352
panel_4,4-Panel,2016,0.9292420571536922,0.8323699421965318,0.9884393063583815
panel_4,4-Panel,2017,0.9694692012553856,0.9190751445086706,1
panel_4,4-Panel,2018,0.9687778026357549,0.9248554913294798,0.9942196531791907
panel_4,4-Panel,2019,0.9356987721893577,0.884393063583815,0.9710982658959537
panel_4,4-Panel,2020,0.8947571057683803,0.8439306358381503,0.930635838150289
panel_4,4-Panel,2021,0.9514188413060959,0.9075144508670521,0.9826589595375722
panel_4,4-Panel,2022,0.9328314334323606,0.8901734104046243,0.9653179190751445
panel_4,4-Panel,2023,0.9594560612130577,0.9132947976878613,0.9884393063583815
panel_4,4-Panel,2024,0.929462310392889,0.8901734104046243,0.9595375722543352
panel_5,5-Panel,2016,0.9242028249067681,0.8265895953757225,0.9884393063583815
panel_5,5-Panel,2017,0.9675909787510543,0.9132947976878613,1
panel_5,5-Panel,2018,0.9623372741898467,0.9132947976878613,0.9942196531791907
panel_5,5-Panel,2019,0.9326545371300136,0.8786127167630058,0.9710982658959537
panel_5,5-Panel,2020,0.8767743826405762,0.815028901734104,0.930635838150289
panel_5,5-Panel,2021,0.9468744562317504,0.8959537572254336,0.9826589595375722
panel_5,5-Panel,2022,0.9360641266438783,0.8959537572254336,0.9653179190751445
panel_5,5-Panel,2023,0.9665931911110186,0.930635838150289,0.9884393063583815
panel_5,5-Panel,2024,0.9310728760737346,0.884393063583815,0.9653179190751445
