scenario,scenario_label,n_site_years,n_observations,n_detections,psi1_mean,psi1_lcl,psi1_ucl,p_mean,p_lcl,p_ucl,mean_gamma,mean_gamma_lcl,mean_gamma_ucl,mean_phi,mean_phi_lcl,mean_phi_ucl,lambda_mean,lambda_lcl,lambda_ucl,Rhat_max
full,Full,1557,3538,2825,0.9380628082749877,0.8509367009341886,0.9913030425689673,0.835315398651046,0.8221585785552155,0.8481251382166268,0.6234665423214573,0.49582524075631207,0.7446363291435488,0.9582749159337592,0.9441188973153005,0.9707141089477518,0.9999054367652482,0.9408284023668639,1.0927152317880795,1.003299927529612
panel_2,2-Panel,1186,2721,2175,0.9280503468275446,0.8252102550061321,0.9889968492331014,0.8399877241532855,0.8253779215551611,0.8542000124687379,0.60802777299286,0.4709839851791073,0.7450145908776556,0.9561202222585791,0.9396056032305218,0.9700988611261807,1.0095233562908896,0.9411764705882353,1.1224489795918369,1.003387289312337
panel_3,3-Panel,1047,2380,1911,0.9214174862848029,0.8152122007534337,0.9873752797143756,0.8483038046566137,0.8331900869769404,0.8633731299255355,0.614175959301931,0.47361292567368996,0.7535065387126504,0.9497656831767373,0.9309965066106748,0.9657457714666274,0.9964925762602768,0.9107142857142857,1.114864864864865,1.0022079939163062
panel_4,4-Panel,999,2246,1785,0.9241831598455827,0.8221569357010192,0.987877116778283,0.8377843943375392,0.8221628525601298,0.8532132795202796,0.6231959708479067,0.4759733904681047,0.7615582257980156,0.9512260659145065,0.9320128933155448,0.9671486644882311,1.002137054366705,0.9244186046511629,1.1172413793103448,1.0021512403526749
panel_5,5-Panel,947,2149,1716,0.9194529040593067,0.8100484016292212,0.9872246123441029,0.8406842362389946,0.824099966902504,0.8566235909750395,0.621042272521218,0.47803383202454847,0.7582813392574489,0.9492695019551408,0.929111572542551,0.9659378374421849,1.0096673712827358,0.923076923076923,1.1360544217687076,1.0032397560901467
