scenario_label,n_site_years,pct_of_full_data,n_detections,lambda_str,lambda_ci
Full,1557,100,2825,"0.99 (0.94, 1.06)",0.124
2-Panel,1186,76.2,2175,"1.00 (0.94, 1.08)",0.143
3-Panel,1047,67.2,1911,"0.98 (0.91, 1.07)",0.166
4-Panel,999,64.2,1785,"0.99 (0.92, 1.09)",0.17
5-Panel,947,60.8,1716,"1.00 (0.92, 1.11)",0.182
