scenario,scenario_label,year,psi_mean,psi_lcl,psi_ucl
full,Full,2016,0.6793465473715001,0.5491329479768786,0.7976878612716763
full,Full,2017,0.7724581706725586,0.6820809248554913,0.8497109826589595
full,Full,2018,0.7808347308719311,0.7167630057803468,0.8439306358381503
full,Full,2019,0.7647799462027127,0.7225433526011561,0.8034682080924855
full,Full,2020,0.7048381138691904,0.6589595375722543,0.7514450867052023
full,Full,2021,0.7585111112267297,0.7109826589595376,0.8092485549132948
full,Full,2022,0.6258492901313253,0.5953757225433526,0.6589595375722543
full,Full,2023,0.7746716868218614,0.7341040462427746,0.815028901734104
full,Full,2024,0.7631901918515551,0.7225433526011561,0.8034682080924855
panel_2,2-Panel,2016,0.6790216593913727,0.5433526011560693,0.8092485549132948
panel_2,2-Panel,2017,0.7791831206242011,0.6878612716763006,0.861271676300578
panel_2,2-Panel,2018,0.7565427062937508,0.6763005780346821,0.8265895953757225
panel_2,2-Panel,2019,0.733920790923023,0.6647398843930635,0.7976878612716763
panel_2,2-Panel,2020,0.7061590552118796,0.653179190751445,0.7572254335260116
panel_2,2-Panel,2021,0.7721194084726392,0.7167630057803468,0.8265895953757225
panel_2,2-Panel,2022,0.6338743700959691,0.5953757225433526,0.6763005780346821
panel_2,2-Panel,2023,0.7805803701757459,0.7283236994219653,0.8323699421965318
panel_2,2-Panel,2024,0.7574052202908153,0.7052023121387283,0.8092485549132948
panel_3,3-Panel,2016,0.6726690010041466,0.5317919075144508,0.8034682080924855
panel_3,3-Panel,2017,0.7906692403344381,0.6936416184971098,0.8728323699421965
panel_3,3-Panel,2018,0.8011743370868879,0.6994219653179191,0.8901734104046243
panel_3,3-Panel,2019,0.7599002674833958,0.6878612716763006,0.8208092485549133
panel_3,3-Panel,2020,0.6999543885024341,0.6358381502890174,0.7630057803468208
panel_3,3-Panel,2021,0.7729518616601545,0.7109826589595376,0.838150289017341
panel_3,3-Panel,2022,0.6614233677703031,0.6127167630057804,0.7109826589595376
panel_3,3-Panel,2023,0.8079813761722993,0.7514450867052023,0.861271676300578
panel_3,3-Panel,2024,0.7515242853765145,0.6763005780346821,0.8208092485549133
panel_4,4-Panel,2016,0.6699340454276641,0.5317919075144508,0.7976878612716763
panel_4,4-Panel,2017,0.8099694362499834,0.7109826589595376,0.8901734104046243
panel_4,4-Panel,2018,0.7835922320555755,0.6820809248554913,0.8786127167630058
panel_4,4-Panel,2019,0.7277675744453058,0.6416184971098265,0.8092485549132948
panel_4,4-Panel,2020,0.6889833492019722,0.6242774566473989,0.7514450867052023
panel_4,4-Panel,2021,0.7666067184753157,0.6936416184971098,0.838150289017341
panel_4,4-Panel,2022,0.6280078874939518,0.5606936416184971,0.6936416184971098
panel_4,4-Panel,2023,0.8163365469494926,0.7456647398843931,0.884393063583815
panel_4,4-Panel,2024,0.7721986071439514,0.7109826589595376,0.8323699421965318
panel_5,5-Panel,2016,0.678481142911979,0.5317919075144508,0.815028901734104
panel_5,5-Panel,2017,0.7969744951373751,0.6994219653179191,0.8786127167630058
panel_5,5-Panel,2018,0.8017720847229232,0.7052023121387283,0.884393063583815
panel_5,5-Panel,2019,0.7377581688804719,0.653179190751445,0.815028901734104
panel_5,5-Panel,2020,0.6884046786181508,0.6069364161849711,0.7687861271676301
panel_5,5-Panel,2021,0.77255008737868,0.6994219653179191,0.8439306358381503
panel_5,5-Panel,2022,0.6477243100032547,0.5780346820809249,0.7109826589595376
panel_5,5-Panel,2023,0.8279718145224927,0.7572254335260116,0.8959537572254336
panel_5,5-Panel,2024,0.7479239253405109,0.6705202312138728,0.815028901734104
