scenario,scenario_label,year,gamma_mean,gamma_lcl,gamma_ucl,phi_mean,phi_lcl,phi_ucl
full,Full,2016,0.2830958676662721,0.02424034265158164,0.7141893110698265,0.8926910411544001,0.7955706021864497,0.9628003749903136
full,Full,2017,0.5081248810051282,0.19580600684191168,0.7988556525707373,0.9559523981410714,0.8982349002199517,0.9903569448212532
full,Full,2018,0.5183944981436063,0.21387606720051583,0.7979434430207168,0.9536088693853283,0.9066463295030749,0.9856320645203371
full,Full,2019,0.49190059457649127,0.18902177411740512,0.787879669398073,0.9132862730394103,0.8524424131079809,0.96114020889582
full,Full,2020,0.8462318995182972,0.602966261895301,0.9781094737440044,0.9045568718562085,0.8400310952918295,0.955852205596586
full,Full,2021,0.6144604762295112,0.3079460680049589,0.8779303771876156,0.9199933462891262,0.8637387536254191,0.9640979224689257
full,Full,2022,0.6438887157318477,0.2965251591668908,0.901260019486746,0.9498004582743005,0.8966646799880833,0.985877288030961
full,Full,2023,0.47847573751556355,0.11206348492773342,0.8201849597765543,0.975800710428053,0.9371561245681364,0.9962915288435543
panel_2,2-Panel,2016,0.33057979056109665,0.025077487247382645,0.7818429789516266,0.8971109399561449,0.7973871714749969,0.966679176322778
panel_2,2-Panel,2017,0.46488040593551877,0.1320751699237668,0.800671115675496,0.9540952825813067,0.8929506836431342,0.9901961718154354
panel_2,2-Panel,2018,0.5157513329039398,0.18532101472808638,0.8210802658285157,0.9287704571345173,0.8566569627350402,0.977149460373102
panel_2,2-Panel,2019,0.5904875887940005,0.2686318272677502,0.8636589788438707,0.9116109566488627,0.8393299273944508,0.9661381297141002
panel_2,2-Panel,2020,0.8640634531997796,0.6161264628666602,0.9868836933784133,0.9168711018070466,0.8423462945173621,0.9707877667777707
panel_2,2-Panel,2021,0.5164522968355396,0.11061120869622579,0.8833243117809175,0.9096760981866919,0.8435339618271975,0.9611152754944576
panel_2,2-Panel,2022,0.6412032271262699,0.3081640379830623,0.902566941867492,0.9514236219484886,0.8848607523791218,0.9916911819661337
panel_2,2-Panel,2023,0.456920908128809,0.05914941600766645,0.8717898109611502,0.9740964592335178,0.9295606037087689,0.9964529138229643
panel_3,3-Panel,2016,0.36654026140674384,0.03151627193275137,0.8171363843108728,0.9036511314237404,0.807662657897821,0.9690263065869567
panel_3,3-Panel,2017,0.39518079094778524,0.08812834233630638,0.7616848123893629,0.943613828415018,0.8622817365706514,0.9890606298889486
panel_3,3-Panel,2018,0.499854266795392,0.16404442979488815,0.8240666167308002,0.930468336104614,0.859262228607544,0.9776737254517682
panel_3,3-Panel,2019,0.5968980008162461,0.24817837955341598,0.8771125788241553,0.8972666808689966,0.813188671190688,0.9602623332748645
panel_3,3-Panel,2020,0.8720587062799959,0.6247119996342434,0.987946882582595,0.9037485713418756,0.8169487723346602,0.9665653584123463
panel_3,3-Panel,2021,0.5586918683841972,0.14341239190348382,0.9024821987325964,0.8987691279043672,0.8251812859276489,0.9567460481157082
panel_3,3-Panel,2022,0.7700845500464089,0.44128168891717967,0.9622322737023268,0.9563006704031417,0.8915187714764232,0.9930845543665408
panel_3,3-Panel,2023,0.48529622602991696,0.056466373497167065,0.9170400630696454,0.9689516022328012,0.9151032489022342,0.9956723550204516
panel_4,4-Panel,2016,0.3276798024501938,0.02595015892201083,0.7817855156226512,0.9006586696772633,0.8008958574399604,0.9698744365504821
panel_4,4-Panel,2017,0.3689394560700971,0.08377349955829011,0.7286784790132506,0.9384136284232834,0.8526338617127729,0.9870683407670466
panel_4,4-Panel,2018,0.45271682540946784,0.13759660928576206,0.7862594180108835,0.915541135147884,0.8255357210317462,0.9760325206787683
panel_4,4-Panel,2019,0.5657063119614275,0.2420636876756893,0.8526715947245556,0.894774615821876,0.8087741752000077,0.9586426960154768
panel_4,4-Panel,2020,0.8761127246116521,0.631345200388457,0.9882972913406123,0.9210613081227499,0.8390759413258133,0.9775399185797886
panel_4,4-Panel,2021,0.5149063268019006,0.10908186349002856,0.8949089698963826,0.8726648337727575,0.7867861243098608,0.9406567996438748
panel_4,4-Panel,2022,0.7127310181773396,0.3591553942816099,0.9481792085927192,0.9441788523353686,0.8645833471833235,0.9912505146555428
panel_4,4-Panel,2023,0.5219361504792172,0.07769282901187341,0.9165386453025381,0.9731660601242403,0.9275116678135403,0.9964374802979372
panel_5,5-Panel,2016,0.36338227160967596,0.03020441230627474,0.8103004485055583,0.9014233182028861,0.8016142516182024,0.9707733324241434
panel_5,5-Panel,2017,0.37082955771747766,0.084418054272971,0.7309587081197659,0.9440503463742832,0.8653312473180063,0.988137408580797
panel_5,5-Panel,2018,0.4392779140633275,0.12580960181423329,0.7932018034931607,0.9189107507162131,0.8324113024301454,0.9766898544469684
panel_5,5-Panel,2019,0.5298582071334622,0.1969635382265642,0.8412389474899851,0.8767264942449403,0.7747510075737899,0.9517516075388941
panel_5,5-Panel,2020,0.8443256312826771,0.5650482114936557,0.9856329766352931,0.8914215425696012,0.7951906122071222,0.9621504189517989
panel_5,5-Panel,2021,0.5217770145450459,0.1309924396473326,0.8863036787969545,0.8783256590472722,0.7913640990336379,0.9455349256155134
panel_5,5-Panel,2022,0.7594425376740479,0.4377097028828434,0.9573033962700359,0.9591216815769515,0.8933907893782487,0.9941454491896575
panel_5,5-Panel,2023,0.4028732134638773,0.03716821009694804,0.8837649536774389,0.9581350625899839,0.8932411591075198,0.9942229987767808
