scenario_label,n_site_years,pct_of_full_data,n_detections,lambda_str,lambda_ci
Full,1557,100,2451,"1.06 (0.98, 1.17)",0.193
2-Panel,1186,76.2,1843,"1.05 (0.96, 1.19)",0.222
3-Panel,1047,67.2,1611,"1.07 (0.97, 1.22)",0.248
4-Panel,999,64.2,1512,"1.07 (0.97, 1.22)",0.247
5-Panel,947,60.8,1446,"1.08 (0.95, 1.27)",0.322
