scenario,scenario_label,year,psi_mean,psi_lcl,psi_ucl
full,Full,2016,0.8886819267822736,0.8034682080924855,0.953757225433526
full,Full,2017,0.8239901348747591,0.7456647398843931,0.884393063583815
full,Full,2018,0.8811381888246628,0.8323699421965318,0.9190751445086706
full,Full,2019,0.8998356840077072,0.8670520231213873,0.9248554913294798
full,Full,2020,0.8686267437379576,0.8323699421965318,0.9017341040462428
full,Full,2021,0.8959025818882467,0.8554913294797688,0.930635838150289
full,Full,2022,0.8908312909441233,0.8670520231213873,0.9132947976878613
full,Full,2023,0.9170410789980732,0.8786127167630058,0.9479768786127167
full,Full,2024,0.9386327552986513,0.9132947976878613,0.9595375722543352
panel_2,2-Panel,2016,0.8903133718689789,0.791907514450867,0.9595375722543352
panel_2,2-Panel,2017,0.8342609633911368,0.7514450867052023,0.8959537572254336
panel_2,2-Panel,2018,0.8780257418111753,0.8265895953757225,0.9248554913294798
panel_2,2-Panel,2019,0.8756211175337187,0.8208092485549133,0.9190751445086706
panel_2,2-Panel,2020,0.870685472061657,0.8208092485549133,0.9132947976878613
panel_2,2-Panel,2021,0.9094443159922929,0.8554913294797688,0.9479768786127167
panel_2,2-Panel,2022,0.87909795761079,0.8439306358381503,0.9132947976878613
panel_2,2-Panel,2023,0.9131425048169557,0.861271676300578,0.953757225433526
panel_2,2-Panel,2024,0.9358218111753371,0.9017341040462428,0.9653179190751445
panel_3,3-Panel,2016,0.884986204238921,0.7803468208092486,0.9595375722543352
panel_3,3-Panel,2017,0.8414285934489403,0.7572254335260116,0.9075144508670521
panel_3,3-Panel,2018,0.8626460115606936,0.7861271676300579,0.9248554913294798
panel_3,3-Panel,2019,0.8703173795761079,0.815028901734104,0.9132947976878613
panel_3,3-Panel,2020,0.8563304816955684,0.7976878612716763,0.9075144508670521
panel_3,3-Panel,2021,0.897820732177264,0.8323699421965318,0.9479768786127167
panel_3,3-Panel,2022,0.8667523699421965,0.8208092485549133,0.9075144508670521
panel_3,3-Panel,2023,0.93157795761079,0.8748554913294799,0.9710982658959537
panel_3,3-Panel,2024,0.9429727938342968,0.8959537572254336,0.976878612716763
panel_4,4-Panel,2016,0.8773727938342967,0.7745664739884393,0.953757225433526
panel_4,4-Panel,2017,0.8290947206165703,0.7456647398843931,0.8959537572254336
panel_4,4-Panel,2018,0.8456453179190752,0.7687861271676301,0.9075144508670521
panel_4,4-Panel,2019,0.8413712524084779,0.7687861271676301,0.9017341040462428
panel_4,4-Panel,2020,0.8411523699421966,0.7803468208092486,0.8901734104046243
panel_4,4-Panel,2021,0.9122848554913295,0.8497109826589595,0.9595375722543352
panel_4,4-Panel,2022,0.8360021579961464,0.7745664739884393,0.8901734104046243
panel_4,4-Panel,2023,0.9080539499036608,0.8439306358381503,0.9595375722543352
panel_4,4-Panel,2024,0.9365136030828516,0.8959537572254336,0.9710982658959537
panel_5,5-Panel,2016,0.8572090944123314,0.7283236994219653,0.953757225433526
panel_5,5-Panel,2017,0.8270625048169556,0.7398843930635838,0.9017341040462428
panel_5,5-Panel,2018,0.8525120616570327,0.7745664739884393,0.9132947976878613
panel_5,5-Panel,2019,0.8468877071290944,0.7745664739884393,0.9017341040462428
panel_5,5-Panel,2020,0.8240209633911368,0.7514450867052023,0.884393063583815
panel_5,5-Panel,2021,0.8780436223506743,0.8092485549132948,0.930635838150289
panel_5,5-Panel,2022,0.83243591522158,0.7745664739884393,0.884393063583815
panel_5,5-Panel,2023,0.9267249325626205,0.8670520231213873,0.9710982658959537
panel_5,5-Panel,2024,0.9188698265895954,0.8670520231213873,0.9595375722543352
