scenario_label,n_site_years,pct_of_full_data,n_detections,lambda_str,lambda_ci
Full,1557,100,252,"0.61 (0.47, 0.78)",0.317
2-Panel,1186,76.2,209,"0.65 (0.48, 0.86)",0.383
3-Panel,1047,67.2,184,"0.85 (0.56, 1.26)",0.703
4-Panel,999,64.2,167,"0.78 (0.51, 1.20)",0.688
5-Panel,947,60.8,172,"0.81 (0.57, 1.14)",0.577
