scenario,scenario_label,year,gamma_mean,gamma_lcl,gamma_ucl,phi_mean,phi_lcl,phi_ucl
full,Full,2016,0.0191100873319797,0.002667630150506909,0.05606554310796304,0.6646336252059585,0.43363716448584155,0.8677521665790686
full,Full,2017,0.02371657087668942,0.0032713701561773107,0.06552256869817817,0.9000654336495242,0.7144479503331318,0.9895732222079328
full,Full,2018,0.018777327623752088,0.002594771015844555,0.05319895349006137,0.8527393995138307,0.6557253447770583,0.9779545603709112
full,Full,2019,0.02441206964710589,0.005083657160667128,0.05952598363560256,0.7405877327384449,0.48530215249372466,0.9399388415347998
full,Full,2020,0.02177850236358317,0.0035789461389521514,0.05613945329785586,0.9258648600990981,0.7733357139004708,0.9922557478254852
full,Full,2021,0.04874075534453661,0.01464755578408917,0.0999028864186509,0.8963872006539298,0.7242910056674343,0.9879215380496751
full,Full,2022,0.043318381122148204,0.007908046423609719,0.10107196526912648,0.8574380972438249,0.657886061849584,0.9750927588024421
full,Full,2023,0.05420785388131713,0.008501323298531236,0.12790626420945325,0.9013536236199889,0.7236531657204553,0.989007928264462
panel_2,2-Panel,2016,0.02462860159977344,0.0034773325739982956,0.06916099339748115,0.6484603171957749,0.3409285337141234,0.9222737843380593
panel_2,2-Panel,2017,0.023146705870238978,0.0030979383501308477,0.06634279067481799,0.8609884847540215,0.5968658349633287,0.9868990892370518
panel_2,2-Panel,2018,0.031353618762552535,0.005626419502332166,0.08075923796466751,0.8156894844500095,0.5367190201389511,0.9768331464326551
panel_2,2-Panel,2019,0.022219361494035854,0.0032052687342190903,0.06307607960353481,0.7029927229488961,0.3882674402819791,0.9452118654209349
panel_2,2-Panel,2020,0.018815550084553018,0.0025154045269355774,0.054636508155876805,0.8702440719592218,0.6196045228051944,0.9883675408294947
panel_2,2-Panel,2021,0.04649842044285256,0.012223968307511532,0.10171686938734753,0.8318083786593874,0.5548652512916132,0.9821042075212708
panel_2,2-Panel,2022,0.053284437888378104,0.01095811989584622,0.12242356056542575,0.8400602197305356,0.5826660544449891,0.9820194441179861
panel_2,2-Panel,2023,0.04579328882953224,0.005889119844436692,0.12273683368365101,0.8855061565908853,0.6708922708521156,0.9878642823350999
panel_3,3-Panel,2016,0.0264697853039245,0.00364299317747715,0.07376049494628835,0.6556980472943911,0.36677973601535746,0.9083831772279438
panel_3,3-Panel,2017,0.03414172219291682,0.004557177989427565,0.0927803088440291,0.8614714593922909,0.6174514723969704,0.9861533519352998
panel_3,3-Panel,2018,0.024470066883737807,0.003415445936289838,0.06901934629400003,0.7513345917250492,0.47176067949549344,0.9584832843654112
panel_3,3-Panel,2019,0.030153709064959407,0.004353255504114771,0.0773402605360681,0.7850160904476249,0.4994045560903039,0.9657086467662315
panel_3,3-Panel,2020,0.02473058904060137,0.00351397773582279,0.06987126072318,0.8925128283727419,0.6618026957259244,0.9903295311392617
panel_3,3-Panel,2021,0.05492989879190893,0.015142182019913113,0.11439295347519152,0.8452999571262443,0.5948933223435491,0.9824371758600949
panel_3,3-Panel,2022,0.06159954014535513,0.009605625995021901,0.14944396750831082,0.8490283490917594,0.5935093356815924,0.9788357404681078
panel_3,3-Panel,2023,0.10952452577595254,0.021467167216906044,0.23413817992691774,0.8616532664162353,0.6113789326298887,0.9868537479831216
panel_4,4-Panel,2016,0.034208574276917474,0.004243843971656376,0.09769138716097361,0.5422330508851847,0.19705807062660902,0.8841609991505087
panel_4,4-Panel,2017,0.038543667110113776,0.004607845188819894,0.11092853250725018,0.8119538656408062,0.45365139427922785,0.9837118100241704
panel_4,4-Panel,2018,0.03957188398457899,0.00641806632742397,0.10413485652264395,0.7033913555704215,0.3517101714965179,0.9569535328888921
panel_4,4-Panel,2019,0.026728875174972935,0.0033588189422283335,0.07673403149402394,0.6352723991786099,0.26904623425579455,0.9345252752550667
panel_4,4-Panel,2020,0.04586164244243211,0.007052302855502448,0.11804346750381833,0.8510772069994161,0.5438439319862673,0.9873669349503309
panel_4,4-Panel,2021,0.06394771801220486,0.014390713808805114,0.14175771708408255,0.7546463422350161,0.3864822812162217,0.9751579438481115
panel_4,4-Panel,2022,0.06677258952537637,0.011319398196270588,0.157351509223274,0.7535867022107084,0.41174505779631454,0.9686808316451384
panel_4,4-Panel,2023,0.06720755181973946,0.008778133833607838,0.17396817912090606,0.8258906607311624,0.5288531194923709,0.9825374888937614
panel_5,5-Panel,2016,0.032694035926500206,0.00439517388790641,0.09023339670882914,0.6257535596927224,0.29865859251554616,0.910119828234232
panel_5,5-Panel,2017,0.03948153941336527,0.005283589839205723,0.1057593162636716,0.861461032891547,0.5830797377321657,0.9877543670970248
panel_5,5-Panel,2018,0.026934426850196733,0.003446307408557348,0.0795276281148531,0.7289536993636785,0.4098371665171242,0.9597475644116968
panel_5,5-Panel,2019,0.035942065769776294,0.006217963889864082,0.09262451274673039,0.5870343343568584,0.2562477949914712,0.8992540837161223
panel_5,5-Panel,2020,0.025998394075828195,0.003307126941760684,0.07596039203118944,0.7884484082046043,0.4251200138614352,0.9819222989002303
panel_5,5-Panel,2021,0.07619961139899882,0.021847079565818446,0.15976217113167532,0.7401307594297538,0.3780545557939153,0.9726832194347594
panel_5,5-Panel,2022,0.08599372120213901,0.013059009636038791,0.2001809100388401,0.7795267869287426,0.44794710877290017,0.9731471983733488
panel_5,5-Panel,2023,0.08083060497493379,0.00972801318195151,0.20490045379137956,0.8256193568262435,0.5330265261122589,0.9814250207606413
