species,scenario,year,phi_mean,phi_sd,gamma_mean,gamma_sd
LACI,full,2016,0.7403309390395117,0.0556078411899683,0.5479808513373873,0.1144184089263477
LACI,full,2017,0.9100696765203007,0.037639874412757866,0.4184908267474271,0.09121440097731445
LACI,full,2018,0.8364111262080965,0.035050603125414345,0.37538897921553616,0.0779853985779448
LACI,full,2019,0.8335235447573381,0.035126196667498256,0.3807271577470676,0.07879280381841182
LACI,full,2020,0.8960891756973005,0.030746327022407764,0.37219066214368957,0.07445782362574171
LACI,full,2021,0.8153183270172696,0.03580186946778606,0.1654175521092404,0.05830318080019892
LACI,full,2022,0.9563902893880534,0.02324912528099588,0.3920636475986218,0.06354625116084843
LACI,full,2023,0.9144826922026056,0.029817505633672248,0.23253337508403957,0.07145218321759585
LACI,rotation_2yr,2016,0.7435516005567662,0.0559984099069314,0.5695437372521135,0.1174752518654117
LACI,rotation_2yr,2017,0.8908573542673764,0.046621940132526477,0.3572766647918364,0.09349485727119217
LACI,rotation_2yr,2018,0.8704956661933217,0.037588133695152966,0.37292718526487434,0.09398774278748992
LACI,rotation_2yr,2019,0.8648338421900833,0.039287004711912675,0.31758065317041095,0.08273567754085667
LACI,rotation_2yr,2020,0.9130298170354678,0.03280980333819577,0.30850114969321135,0.08060397581115894
LACI,rotation_2yr,2021,0.8448090487009653,0.039026461769516116,0.06875485671730186,0.04625884637667872
LACI,rotation_2yr,2022,0.9842078246855703,0.014270427374655729,0.3567534621641883,0.07213332405043692
LACI,rotation_2yr,2023,0.9274704204400003,0.031165180713979508,0.12609054372984962,0.08182129193409783
LACI,rotation_3yr,2016,0.7774625635139888,0.053153439872167564,0.6499045435751198,0.11554235747185729
LACI,rotation_3yr,2017,0.9256003122068975,0.035636784431874,0.5052223523626621,0.11250793780639126
LACI,rotation_3yr,2018,0.8228708046090878,0.04280818089018233,0.39267530014483065,0.11443550688446572
LACI,rotation_3yr,2019,0.881719692389997,0.03986465782797787,0.38308890911672056,0.09879736993391476
LACI,rotation_3yr,2020,0.8942567571895069,0.03856223847418261,0.27544827220530665,0.08967830055190597
LACI,rotation_3yr,2021,0.8534573573750176,0.04167369006760347,0.06904474309876502,0.04745411634163197
LACI,rotation_3yr,2022,0.9842688407535691,0.014567130475933363,0.4669993847656063,0.09626620863715468
LACI,rotation_3yr,2023,0.9277577005441202,0.03230550904608665,0.16697194540214166,0.10909873591853647
LACI,rotation_4yr,2016,0.7696316224959951,0.0542791055984368,0.6572443955383138,0.11259389876759049
LACI,rotation_4yr,2017,0.9202636035294498,0.038221272722501955,0.48884538519193765,0.11229562710675915
LACI,rotation_4yr,2018,0.827888530462849,0.04203728795712887,0.4078897706550759,0.11555522067780842
LACI,rotation_4yr,2019,0.863705451760585,0.04111749923552704,0.37238827680638165,0.09555099290976918
LACI,rotation_4yr,2020,0.9355051298258276,0.027646250565128566,0.3947314338337108,0.10235906667038432
LACI,rotation_4yr,2021,0.8752973667547468,0.03898406175675547,0.08972076775863144,0.061062244920229755
LACI,rotation_4yr,2022,0.9737666853016582,0.023599749594027077,0.28403074429165737,0.0828573412963817
LACI,rotation_4yr,2023,0.8973503059533406,0.040085873249246895,0.12228163222755975,0.08648739862025599
LACI,rotation_5yr,2016,0.7297385823580853,0.05567009549368941,0.5451737303254197,0.11529476924310954
LACI,rotation_5yr,2017,0.8995970774309232,0.043304778753865514,0.3973497276687017,0.09390620399032028
LACI,rotation_5yr,2018,0.8218728560247212,0.043140939506399655,0.30339772357123923,0.08511972716212747
LACI,rotation_5yr,2019,0.8860005414565985,0.036446918754952096,0.37971617008784736,0.08893249301797229
LACI,rotation_5yr,2020,0.9305224123044855,0.028333215879916045,0.35161164317197846,0.0890898771611753
LACI,rotation_5yr,2021,0.8520966331154071,0.03753977121128678,0.09576174733017782,0.05554243895843869
LACI,rotation_5yr,2022,0.9548287316949067,0.02752419435994593,0.31976247139422137,0.07703758392728359
LACI,rotation_5yr,2023,0.8934250392654829,0.03950612822216143,0.1951832069252148,0.07531927987144588
