site,region,lat,long,elevation,park_name,n_years,is_bc_park,is_alaska,site_type
206394_NE,Northern Region,53.636548,-132.050561,NA,Naikoon,3,TRUE,FALSE,BC Parks (Rotating)
206394_NW,Northern Region,53.637196,-132.162509,NA,Naikoon,3,TRUE,FALSE,BC Parks (Rotating)
206394_SE,Northern Region,53.608769,-131.99988,NA,Naikoon,3,TRUE,FALSE,BC Parks (Rotating)
206394_SW,Northern Region,53.573235,-132.115794,NA,Naikoon,3,TRUE,FALSE,BC Parks (Rotating)
206_NW,Alaska,56.0204,-133.24865,16,POW,5,FALSE,TRUE,Fixed (Alaska)
20730_NE,Northern Region,56.7952475,-124.9005858,NA,TKD,2,FALSE,FALSE,Fixed (BC)
20730_NW,Northern Region,56.79948362,-124.9761373,NA,TKD,2,FALSE,FALSE,Fixed (BC)
20730_SE,Northern Region,56.7845655,-124.8854358,NA,TKD,2,FALSE,FALSE,Fixed (BC)
212266_NE,Okanagan Region,50.7512766,-120.4800092,NA,Kamloops,9,FALSE,FALSE,Fixed (BC)
212266_NW,Okanagan Region,50.7775476,-120.5598176,NA,Kamloops,7,FALSE,FALSE,Fixed (BC)
212266_SE,Okanagan Region,50.7148071,-120.4925243,NA,Kamloops,8,FALSE,FALSE,Fixed (BC)
212266_SW,Okanagan Region,50.7323352,-120.5218426,NA,Kamloops,8,FALSE,FALSE,Fixed (BC)
212906_NW,South Coastal Region,49.36971,-124.79984,NA,Horne Lake Park,6,TRUE,FALSE,BC Parks (Rotating)
212906_SE,South Coastal Region,49.35175,-124.74136,NA,Horne Lake Park,6,TRUE,FALSE,BC Parks (Rotating)
212906_SW,South Coastal Region,49.33595,-124.7423,NA,Horne Lake Park,5,TRUE,FALSE,BC Parks (Rotating)
216746_NW,South Coastal Region,49.106754,-125.78544,NA,Pacific Rim National Park,3,TRUE,FALSE,BC Parks (Rotating)
216746_SE,South Coastal Region,49.077676,-125.746438,NA,Pacific Rim National Park,6,TRUE,FALSE,BC Parks (Rotating)
218282_SE,Kootenay Region,50.138325,-117.556721,NA,Summit Lake,4,TRUE,FALSE,BC Parks (Rotating)
218282_SW,Kootenay Region,50.150936,-117.622098,NA,Summit Lake,5,TRUE,FALSE,BC Parks (Rotating)
226090_NE,Okanagan Region,50.10929,-120.45236,NA,Hamilton Commonage,5,FALSE,FALSE,Fixed (BC)
226090_NW,Okanagan Region,50.0999,-120.50647,NA,Hamilton Commonage,6,FALSE,FALSE,Fixed (BC)
226090_SE,Okanagan Region,50.07156,-120.42266,NA,Hamilton Commonage,5,FALSE,FALSE,Fixed (BC)
230186_NE,Okanagan Region,49.014567,-121.071983,NA,Skagit,5,TRUE,FALSE,BC Parks (Rotating)
230186_SE,Okanagan Region,48.975109,-121.083294,NA,Skagit,6,TRUE,FALSE,BC Parks (Rotating)
231310_SE,Alaska,56.22812,-132.07308,129,,3,FALSE,TRUE,Fixed (Alaska)
241002_NE,Kootenay Region,51.038169,-118.135697,NA,Mount Revelstoke,8,TRUE,FALSE,BC Parks (Rotating)
241002_NW,Kootenay Region,51.015969,-118.202923,NA,Mount Revelstoke,8,TRUE,FALSE,BC Parks (Rotating)
243562_NE,Kootenay Region,49.699661,-115.984981,NA,Kimberley,7,FALSE,FALSE,Fixed (BC)
243562_SE,Kootenay Region,49.650677,-115.946919,NA,Kimberley,7,FALSE,FALSE,Fixed (BC)
26170_NE,Northern Region,53.620517,-132.208832,NA,Yakoun,3,TRUE,FALSE,BC Parks (Rotating)
26170_NW,Northern Region,53.604517,-132.288374,NA,Yakoun,3,TRUE,FALSE,BC Parks (Rotating)
26170_SE,Northern Region,53.58901,-132.176947,NA,Yakoun,3,TRUE,FALSE,BC Parks (Rotating)
26170_SW,Northern Region,53.568946,-132.230418,NA,Yakoun,3,TRUE,FALSE,BC Parks (Rotating)
265749_NE,Okanagan Region,49.15892,-119.03758,NA,Kettle/Conkle Parks,6,TRUE,FALSE,BC Parks (Rotating)
265749_NW,Okanagan Region,49.16674,-119.10324,NA,Kettle/Conkle Parks,7,TRUE,FALSE,BC Parks (Rotating)
265749_SE,Okanagan Region,49.11153,-118.97698,NA,Kettle/Conkle Parks,7,TRUE,FALSE,BC Parks (Rotating)
265749_SW,Okanagan Region,49.11337,-119.05299,NA,Kettle/Conkle Parks,7,TRUE,FALSE,BC Parks (Rotating)
268521_NE,Kootenay Region,49.49916,-115.03962,NA,Fernie,7,FALSE,FALSE,Fixed (BC)
268521_NW,Kootenay Region,49.48855,-115.09812,NA,Fernie,6,FALSE,FALSE,Fixed (BC)
268521_SE,Kootenay Region,49.440833,-115.056338,NA,Fernie,6,FALSE,FALSE,Fixed (BC)
269777_NW,Northern Region,57.04083,-122.86281,NA,Pink Mountain,4,FALSE,FALSE,Fixed (BC)
269777_SW,Northern Region,57.01497,-122.80521,NA,Pink Mountain,4,FALSE,FALSE,Fixed (BC)
271731_SW,Kootenay Region,51.241464,-117.649615,NA,Glacier,6,TRUE,FALSE,BC Parks (Rotating)
