species,scenario,n_sites,n_observations,n_detections,naive_occ,psi1_mean,psi1_ci,p_mean,p_ci,mean_phi,phi_ci,mean_gamma,gamma_ci,lambda_mean,lambda_lcl,lambda_ucl,lambda_ci,trend_mean,trend_lcl,trend_ucl,trend_ci,trend_sig,lambda_sig,Rhat_max,obs_pct,lambda_ci_rel,trend_ci_rel,phi_ci_rel,gamma_ci_rel
LACI,full,217,3879,1905,0.38095238095238093,0.6868049412196405,0.2617463044059679,0.6775636668683752,0.03817201318989949,0.8480416441511136,0.06057688377519321,0.35569192701369207,0.1276112731031071,1.0610404983433999,0.8908045977011495,1.2936507936507935,0.402846195949644,-0.004858095238095238,-0.015207373271889403,0.005990783410138234,0.02119815668202764,FALSE,FALSE,1.0045333022442087,100,1,1,1,1
LACI,rotation_2yr,197,3225,1646,0.3581500282007896,0.7003811447621038,0.2704109978220348,0.6881244202331246,0.04012118196888603,0.8611481369644102,0.06139917414494411,0.34365081052028396,0.13924754052878752,1.0423751562015848,0.8703703703703703,1.2784853884533143,0.4081150180829439,-0.0067822560631697676,-0.017766497461928935,0.004737732656514375,0.02250423011844331,FALSE,FALSE,1.004385032053525,83.1399845320959,1.01307899189883,1.0616125947178698,1.0135743260218286,1.0911852624201825
LACI,rotation_3yr,195,2977,1556,0.3367521367521368,0.6984036945117604,0.2681747111038548,0.6977384578535072,0.0411566938535477,0.8602797122245471,0.06127168481123946,0.36567252232568564,0.15988437178927312,1.1022463548362833,0.9070472214224014,1.3559322033898304,0.4488849819674291,-0.00467607977207977,-0.01623931623931624,0.00794871794871795,0.02418803418803419,FALSE,FALSE,1.0041383008502052,76.74658417117813,1.1142837799653444,1.1410442214790049,1.011469738830157,1.252901627743264
LACI,rotation_4yr,192,2893,1536,0.3402777777777778,0.6981864817036549,0.27716320169364494,0.6939809255751154,0.04113716933188982,0.8697207219834933,0.06008879913466636,0.36700972733019965,0.15700451142280009,1.0308681323565054,0.8547353696569437,1.2702702702702702,0.41553490061332643,-0.005262777777777778,-0.01710069444444442,0.006857638888888899,0.023958333333333318,FALSE,FALSE,1.00302372306486,74.5810775973189,1.0314976405170486,1.1302083333333333,0.9919427245162002,1.2303341829051724
LANO,full,217,3879,2538,0.46543778801843316,0.87053746678172494,0.18861916753041708,0.7578331129410003,0.031018601056644668,0.9182324850278415,0.040902581889367684,0.37371017654501903,0.16333882368185715,1.031698629421377,0.9362745098039215,1.1589639037433153,0.2226893939393938,0.004492770097286226,-0.003993855606758845,0.014132104454685098,0.018125960061443944,FALSE,FALSE,1.0024348480615175,100,1,1,1,1
LANO,rotation_2yr,197,3225,2126,0.42526790750141,0.893371738815514,0.1686214178229768,0.7651346563598831,0.032971348137872614,0.9265815610493523,0.040208936429080744,0.34764700213835403,0.1761303310299046,1.0006994127109317,0.9193548387096774,1.1097560975609755,0.1904012588512981,6.7012972363226e-4,-0.007191201353637907,0.009813874788494081,0.017005076142131988,FALSE,FALSE,1.002785558197481,83.1399845320959,0.8550082044011351,0.9381614041125353,0.9830415238293979,1.0783127186771106
LANO,rotation_3yr,195,2977,1982,0.39544159544159546,0.8894803448474601,0.17240780867515992,0.7745191743046842,0.03418582401222925,0.9203825034873736,0.04340514817107999,0.39609589056049876,0.1817543996804789,1.0393633188317497,0.9413250938673341,1.161935347261434,0.2206102533940999,0.0013827692307692284,-0.007264957264957269,0.010985042735042697,0.018249999999999968,FALSE,FALSE,1.005023638573991,76.74658417117813,0.9906634954251133,1.0068432203389805,1.0611835773223603,1.1127446346405105
LANO,rotation_4yr,192,2893,1907,0.3900462962962963,0.89036385198908,0.17520882274562022,0.7677444535530656,0.03485938772734776,0.917830133236091,0.04485298275435323,0.3812166972604425,0.1860929003130663,1.0179222319598877,0.9325842696629214,1.132669152040013,0.20008488237709154,6.22974537037037e-4,-0.008072916666666671,0.010677083333333334,0.018750000000000003,FALSE,FALSE,1.0018429805913134,74.5810775973189,0.8984930931714952,1.0344279661016944,1.0965807213752545,1.1393059905679763
LABO,full,217,3879,990,0.19764464925755248,0.6730253537710553,0.2652189192727833,0.6724575537782468,0.05090551440583313,0.8735535151011771,0.05611607237686966,0.05901980401048556,0.054561794944943356,0.5301476728877272,0.43859649122807015,0.652892561983471,0.21429607075540086,-0.01963137736815156,-0.028878648233486924,-0.009754224270353313,0.01912442396313361,TRUE,TRUE,1.0041843245397284,100,1,1,1,1
LABO,rotation_2yr,197,3225,860,0.1889452904681331,0.7009719999559274,0.2708260899716364,0.6741447976303432,0.054845381629378576,0.8756812371342964,0.054885470699439054,0.06290517166305544,0.058528779973879674,0.5370683161436535,0.44871794871794873,0.6608695652173913,0.21215161649944253,-0.021383350253807106,-0.030964467005076143,-0.011376903553299523,0.01958756345177662,TRUE,TRUE,1.0039954671500444,83.1399845320959,0.9899930304442864,1.0242171732615744,0.9780704239390452,1.0727062779540022
LABO,rotation_3yr,195,2977,781,0.17150997150997152,0.7002545900158751,0.2700696252359899,0.6767012554927393,0.058854693304299044,0.8620304776757899,0.06353308304152716,0.06543065757360139,0.06118721789443664,0.49953887429980837,0.4,0.6272931206380856,0.2272931206380856,-0.02309670655270655,-0.032991452991452994,-0.012307692307692308,0.020683760683760686,TRUE,TRUE,1.0087553830935283,76.74658417117813,1.0606499682279273,1.0815364020183316,1.132172661957623,1.121429710224504
LABO,rotation_4yr,192,2893,774,0.1736111111111111,0.6958742707384615,0.26681690033487293,0.6731536684258984,0.05916102434365489,0.8665949412636357,0.06357001300981358,0.07111791338998949,0.060969788996257074,0.5634265575466876,0.46176971762414804,0.6964285714285714,0.23465885380442336,-0.018740625,-0.02890625,-0.008159722222222221,0.02074652777777778,TRUE,TRUE,1.0076070993139088,74.5810775973189,1.0950217284770691,1.084818440428382,1.1328307616200226,1.1174447075610292
MYLU,full,217,3879,3086,0.5212493599590374,0.9108306235957634,0.16883907888320349,0.8375805338192654,0.024525640993919295,0.9535714840214198,0.02752798798001732,0.6068707616704516,0.23740557345185842,1.024516215184394,0.9483568075117371,1.138888888888889,0.19053208137715194,7.404403481822882e-4,-0.005222734254992301,0.008141321044546828,0.01336405529953913,FALSE,FALSE,1.0020041038755876,100,1,1,1,1
MYLU,rotation_2yr,197,3225,2584,0.47659334461364916,0.9287559234757267,0.1515554092941649,0.8445021926368477,0.02609559758715918,0.9536542327971257,0.02927258151201828,0.6114828101952118,0.257047154235316,1.0086090177340226,0.9399289067190656,1.1130952380952381,0.17316633137617254,-0.0015490129723632281,-0.007066412859560066,0.0054991539763113145,0.01256556683587138,FALSE,FALSE,1.0012501550667217,83.1399845320959,0.9088565564630322,0.9402510356496888,1.0633752649582442,1.082734286722382
MYLU,rotation_3yr,195,2977,2377,0.4444444444444444,0.9310171364492229,0.15329481800255507,0.8397185331670962,0.02692111924237861,0.9523078192971673,0.031206541027613888,0.6544020737445585,0.2537461257847857,1.007370228284137,0.9315789473684211,1.1124260355029585,0.18084708813453743,-0.0018421310541310502,-0.00786324786324788,0.00521367521367524,0.01307692307692312,FALSE,FALSE,1.0024506654591658,76.74658417117813,0.9491687007636085,0.9785145888594227,1.1336295645823022,1.0688296912972048
MYLU,rotation_4yr,192,2893,2317,0.4386574074074074,0.9297033020476304,0.15675206076479076,0.8433252727230397,0.027367847659910183,0.949789841178825,0.03312942376532346,0.6489128374451123,0.26102959187768304,1.0114098565746426,0.9411764705882352,1.117283950617284,0.17610748002904886,-0.0013203240740740742,-0.007291666666666652,0.006076388888888859,0.013368055555555512,FALSE,FALSE,1.0018392083064183,74.5810775973189,0.924293057400921,1.0002993295019156,1.2034814818057988,1.0995091146443332
MYSE,full,217,3879,260,0.0742447516641065,0.25630181918556,0.2395700202973869,0.3904280206366824,0.09704669745740413,0.7940328772343481,0.14891392726823582,0.04307758422070665,0.03298844025690511,0.8551699804619726,0.5217391304347826,1.358974358974359,0.8372352285395764,-0.0025891244239631336,-0.012980030721966209,0.006528417818740403,0.019508448540706613,FALSE,FALSE,1.0029736983391697,100,1,1,1,1
MYSE,rotation_2yr,197,3225,221,0.0676818950930626,0.27827303458719344,0.2642106331113072,0.42067547737789274,0.10798439047619401,0.7689126621207436,0.15870280785648216,0.04936491165820484,0.03731208715889036,0.8684813648266356,0.5211267605633803,1.418998499624906,0.8978717390615258,-0.003454010152284264,-0.015103637901861245,0.007275803722504227,0.022379441624365472,FALSE,FALSE,1.0026930488898202,83.1399845320959,1.0724247003171619,1.1471666533434581,1.0657351583415957,1.1310655147170903
MYSE,rotation_3yr,195,2977,205,0.062108262108262105,0.2745303746363162,0.25441456631750803,0.43661930795105175,0.11283396154378439,0.7819560619694375,0.15925433353214258,0.044029826599485906,0.03581712036626086,0.7844486038285859,0.4605263157894737,1.28125,0.8207236842105263,-0.004070415954415953,-0.015726495726495725,0.006752136752136756,0.02247863247863248,FALSE,FALSE,1.005434071347076,76.74658417117813,0.9802784883313476,1.1522511609125778,1.0694388124307592,1.085747616053586
MYSE,rotation_4yr,192,2893,198,0.059027777777777776,0.26027800821218183,0.2562151324213515,0.44460301960416926,0.11497398932711772,0.7832865582304941,0.15644716560542404,0.0439876648552718,0.03341714289305746,0.9569580836063954,0.5625,1.5625000000000002,1.0000000000000002,2.7490740740740747e-4,-0.010983072916666663,0.010416666666666664,0.021399739583333327,FALSE,FALSE,1.0063984079015582,74.5810775973189,1.1944074567243677,1.0969472810039362,1.0505878696196007,1.0129955412506237
