species,scenario,year,psi_mean,psi_lcl,psi_ucl
LACI,full,2016,0.6884399385560676,0.5668202764976958,0.8018433179723502
LACI,full,2017,0.7389296466973886,0.6451612903225806,0.8202764976958525
LACI,full,2018,0.7605376344086021,0.6912442396313364,0.8294930875576036
LACI,full,2019,0.6874427035330261,0.6405529953917051,0.7327188940092166
LACI,full,2020,0.6289732718894009,0.5852534562211982,0.6728110599078341
LACI,full,2021,0.6877124423963134,0.6405529953917051,0.7373271889400922
LACI,full,2022,0.5866605222734255,0.5483870967741935,0.6221198156682027
LACI,full,2023,0.709152688172043,0.663594470046083,0.7511520737327189
LACI,full,2024,0.7247723502304148,0.6774193548387096,0.7695852534562212
LACI,rotation_2yr,2016,0.7019979695431472,0.5736040609137056,0.817258883248731
LACI,rotation_2yr,2017,0.789131641285956,0.6954314720812182,0.8730964467005076
LACI,rotation_2yr,2018,0.7438131979695431,0.6649746192893401,0.817258883248731
LACI,rotation_2yr,2019,0.7176453468697124,0.6598984771573604,0.7766497461928934
LACI,rotation_2yr,2020,0.6299566835871404,0.583756345177665,0.6802030456852792
LACI,rotation_2yr,2021,0.6892060913705583,0.6395939086294417,0.7360406091370558
LACI,rotation_2yr,2022,0.5978098138747885,0.5583756345177665,0.6345177664974619
LACI,rotation_2yr,2023,0.7285752961082911,0.6751269035532995,0.7817258883248731
LACI,rotation_2yr,2024,0.7257928934010153,0.6751269035532995,0.7766497461928934
LACI,rotation_3yr,2016,0.6996758974358974,0.5743589743589743,0.8153846153846154
LACI,rotation_3yr,2017,0.7890639316239316,0.6923076923076923,0.8717948717948718
LACI,rotation_3yr,2018,0.7846352136752137,0.6947435897435899,0.8666666666666667
LACI,rotation_3yr,2019,0.6567104273504274,0.6,0.7076923076923077
LACI,rotation_3yr,2020,0.6329080341880342,0.5794871794871795,0.6871794871794872
LACI,rotation_3yr,2021,0.684691282051282,0.6358974358974359,0.7384615384615385
LACI,rotation_3yr,2022,0.5947500854700855,0.5538461538461539,0.6358974358974359
LACI,rotation_3yr,2023,0.7254208547008547,0.6615384615384615,0.7897435897435897
LACI,rotation_3yr,2024,0.765214358974359,0.6871794871794872,0.841025641025641
LACI,rotation_4yr,2016,0.7012368055555556,0.5729166666666666,0.8177083333333334
LACI,rotation_4yr,2017,0.7955722222222222,0.703125,0.875
LACI,rotation_4yr,2018,0.8067833333333333,0.71875,0.890625
LACI,rotation_4yr,2019,0.7181486111111111,0.65625,0.7760416666666666
LACI,rotation_4yr,2020,0.6467986111111111,0.59375,0.6979166666666666
LACI,rotation_4yr,2021,0.7276138888888889,0.6822916666666666,0.7760416666666666
LACI,rotation_4yr,2022,0.6784277777777777,0.6302083333333334,0.7291666666666666
LACI,rotation_4yr,2023,0.7518791666666667,0.6979166666666666,0.8072916666666666
LACI,rotation_4yr,2024,0.7168763888888889,0.65625,0.7760416666666666
LANO,full,2016,0.8743840245775729,0.783410138248848,0.9493087557603687
LANO,full,2017,0.800110599078341,0.7188940092165899,0.8663594470046083
LANO,full,2018,0.8092761904761905,0.7511520737327189,0.8663594470046083
LANO,full,2019,0.8236792626728111,0.783410138248848,0.8617511520737328
LANO,full,2020,0.778326267281106,0.7373271889400922,0.8202764976958525
