species,scenario,year,psi_mean,psi_sd,psi_lcl,psi_ucl
LACI,full,2016,0.7450948666295201,0.042649239734084445,0.6571428571428571,0.825
LACI,full,2017,0.693031446001743,0.03444965029872597,0.6214285714285714,0.7571428571428571
LACI,full,2018,0.7620687068706871,0.023736711530793566,0.7142857142857143,0.8071428571428572
LACI,full,2019,0.7288689583244039,0.018509557804937227,0.6928571428571428,0.7642857142857142
LACI,full,2020,0.7118440415470119,0.022461462216228044,0.6678571428571428,0.7571428571428571
LACI,full,2021,0.7467907505036218,0.019860836640035802,0.7071428571428572,0.7857142857142857
LACI,full,2022,0.650996171045676,0.016387260853908122,0.6178571428571429,0.6821428571428572
LACI,full,2023,0.762008700870087,0.018166543828688268,0.725,0.7964285714285714
LACI,full,2024,0.752928149957853,0.018485522061624973,0.7142857142857143,0.7892857142857143
LACI,rotation_2yr,2016,0.7396566994828979,0.044006611789334106,0.6474820143884892,0.8201438848920863
LACI,rotation_2yr,2017,0.6997688977530847,0.036274661820935465,0.6258992805755396,0.7697841726618705
LACI,rotation_2yr,2018,0.7325358435124087,0.028720293095257636,0.6726618705035972,0.7877697841726619
LACI,rotation_2yr,2019,0.7395771951295849,0.023374188962335802,0.6942446043165468,0.7841726618705036
LACI,rotation_2yr,2020,0.7233766542121838,0.02500308459304445,0.6762589928057554,0.7733812949640287
LACI,rotation_2yr,2021,0.7479334264361688,0.02184461176215137,0.7050359712230215,0.7913669064748201
LACI,rotation_2yr,2022,0.6483662754764685,0.017602232470476473,0.6115107913669064,0.6834532374100719
LACI,rotation_2yr,2023,0.7663007307925037,0.019445713828817126,0.7266187050359713,0.802158273381295
LACI,rotation_2yr,2024,0.7414140694645004,0.020637731889615523,0.697841726618705,0.7805755395683454
LACI,rotation_3yr,2016,0.7465115914576532,0.04195904260532765,0.6604477611940298,0.8246268656716418
LACI,rotation_3yr,2017,0.7480770465106212,0.03690570230078757,0.6716417910447762,0.8171641791044776
LACI,rotation_3yr,2018,0.8235084702500101,0.03002199438109679,0.7611940298507462,0.8805970149253731
LACI,rotation_3yr,2019,0.7483860326331141,0.025444950349095934,0.6977611940298507,0.7985074626865671
LACI,rotation_3yr,2020,0.7580690904911387,0.028669466731835132,0.7052238805970149,0.8171641791044776
LACI,rotation_3yr,2021,0.7455279110000552,0.023096549774909242,0.7014925373134329,0.7910447761194029
LACI,rotation_3yr,2022,0.6528630474987798,0.02030226298437547,0.6119402985074627,0.6902985074626866
LACI,rotation_3yr,2023,0.8082931427471105,0.02814811621815113,0.753731343283582,0.8619402985074627
LACI,rotation_3yr,2024,0.7836246311198284,0.026503508443854393,0.7313432835820896,0.832089552238806
LACI,rotation_4yr,2016,0.7462761146003076,0.04192058879555988,0.6617100371747212,0.8252788104089219
LACI,rotation_4yr,2017,0.7439929866592607,0.037756076154897,0.6691449814126395,0.8141263940520446
LACI,rotation_4yr,2018,0.8132051123327946,0.032719643478806494,0.7472118959107806,0.8736059479553904
LACI,rotation_4yr,2019,0.751046108328305,0.024467541256322195,0.7026022304832714,0.7955390334572491
LACI,rotation_4yr,2020,0.742606974452092,0.026694563791378,0.6914498141263941,0.7955390334572491
LACI,rotation_4yr,2021,0.7990505370239627,0.026165468814420847,0.7509293680297398,0.8513011152416357
LACI,rotation_4yr,2022,0.71619801385343,0.023279060829969594,0.6691449814126395,0.7620817843866171
LACI,rotation_4yr,2023,0.7803635382125573,0.02200814207352951,0.7360594795539034,0.8215613382899628
LACI,rotation_4yr,2024,0.7276385631128168,0.024152214657850717,0.6802973977695167,0.7732342007434945
LACI,rotation_5yr,2016,0.7434569214497208,0.042425624206810925,0.6553030303030303,0.821969696969697
LACI,rotation_5yr,2017,0.6837570120648429,0.034374682856983745,0.6136363636363636,0.75
LACI,rotation_5yr,2018,0.7432701603493683,0.03307277618709456,0.678030303030303,0.8068181818181818
LACI,rotation_5yr,2019,0.689301884733928,0.02226648427470911,0.6439393939393939,0.7310606060606061
LACI,rotation_5yr,2020,0.7308746026117764,0.029413689440970864,0.6742424242424242,0.7878787878787878
LACI,rotation_5yr,2021,0.7765871284098107,0.02207096212867716,0.7310606060606061,0.8181818181818182
LACI,rotation_5yr,2022,0.6826436431521941,0.02263825957322575,0.6399621212121213,0.7272727272727273
LACI,rotation_5yr,2023,0.756004767143381,0.024514478328501222,0.7083333333333334,0.803030303030303
LACI,rotation_5yr,2024,0.7237757866695761,0.022305118484900854,0.678030303030303,0.7651515151515151
LANO,full,2016,0.9228644293000728,0.030524160152380117,0.8535714285714285,0.9714285714285714
LANO,full,2017,0.7516901690169017,0.033412878802700975,0.6821428571428572,0.8142857142857143
LANO,full,2018,0.8947801923049448,0.019358056213329918,0.8535714285714285,0.9321428571428572
LANO,full,2019,0.8538375266098038,0.013915921761424047,0.825,0.8785714285714286
LANO,full,2020,0.8795768862600546,0.017195635363040817,0.8428571428571429,0.9107142857142857
LANO,full,2021,0.8709817410312459,0.01626510154808389,0.8392857142857143,0.9035714285714286
LANO,full,2022,0.8941833469061192,0.012036135039839432,0.8678571428571429,0.9178571428571428
LANO,full,2023,0.8756107753632506,0.01646804591291837,0.8428571428571429,0.9071428571428571
LANO,full,2024,0.9296997556898547,0.013992512211876404,0.9,0.9535714285714286
LANO,rotation_2yr,2016,0.9259929590081311,0.02865595017241585,0.8597122302158273,0.9712230215827338
LANO,rotation_2yr,2017,0.7758815449890313,0.03364815706565403,0.7050359712230215,0.8381294964028777
LANO,rotation_2yr,2018,0.8836541927574052,0.022252130270723376,0.8381294964028777,0.9244604316546763
LANO,rotation_2yr,2019,0.8442739957448983,0.017517426948786496,0.8093525179856115,0.8776978417266187
LANO,rotation_2yr,2020,0.871976766021926,0.01864169005752073,0.8345323741007195,0.9064748201438849
LANO,rotation_2yr,2021,0.8806006499930569,0.017207305137034824,0.8453237410071942,0.9136690647482014
LANO,rotation_2yr,2022,0.8965529646489829,0.014796315288365185,0.8669064748201439,0.9244604316546763
LANO,rotation_2yr,2023,0.8941361762075488,0.019471484434428362,0.8525179856115108,0.9280575539568345
LANO,rotation_2yr,2024,0.9266041712084877,0.017499288671042692,0.8884892086330936,0.9568345323741008
LANO,rotation_3yr,2016,0.9279371967047451,0.027829185563471512,0.8656716417910447,0.9738805970149254
LANO,rotation_3yr,2017,0.7885904262067998,0.035621748008228316,0.7126865671641791,0.8544776119402985
LANO,rotation_3yr,2018,0.9103735000365708,0.02260862941861535,0.8619402985074627,0.9514925373134329
LANO,rotation_3yr,2019,0.8669191546020274,0.019260332774876918,0.8246268656716418,0.8992537313432836
LANO,rotation_3yr,2020,0.8881671749264479,0.019719772059098042,0.8470149253731343,0.9253731343283582
LANO,rotation_3yr,2021,0.8749072668460876,0.019411152833737122,0.832089552238806,0.9104477611940298
LANO,rotation_3yr,2022,0.9013352827820096,0.01688106944187035,0.8656716417910447,0.9328358208955224
LANO,rotation_3yr,2023,0.8689137570473465,0.02382089732363196,0.8208955223880597,0.914179104477612
LANO,rotation_3yr,2024,0.9146112372431273,0.020829660843935803,0.8694029850746269,0.9514925373134329
LANO,rotation_4yr,2016,0.9278715975686788,0.027788011487524446,0.8661710037174721,0.9739776951672863
LANO,rotation_4yr,2017,0.787834545536338,0.035333533336674175,0.7137546468401487,0.8513011152416357
LANO,rotation_4yr,2018,0.9091555995748274,0.02564951932373822,0.8550185873605948,0.9553903345724907
LANO,rotation_4yr,2019,0.8393497342299285,0.019737694567953032,0.7992565055762082,0.8736059479553904
LANO,rotation_4yr,2020,0.8691586630782038,0.021063534053875423,0.8252788104089219,0.9070631970260223
LANO,rotation_4yr,2021,0.8940124495720948,0.022940170016002095,0.8475836431226765,0.9368029739776952
LANO,rotation_4yr,2022,0.9100467667584602,0.018534050205683085,0.8698884758364313,0.9442379182156134
LANO,rotation_4yr,2023,0.8878519822242448,0.021263220274265263,0.8438661710037175,0.9256505576208178
LANO,rotation_4yr,2024,0.922376252495138,0.019325848342923474,0.8810408921933085,0.9553903345724907
LANO,rotation_5yr,2016,0.9203897662493522,0.03130792853419497,0.8484848484848485,0.9696969696969697
LANO,rotation_5yr,2017,0.7453559749914386,0.032312775919736386,0.6818181818181818,0.803030303030303
LANO,rotation_5yr,2018,0.8818953865083478,0.025765371539990988,0.8295454545454546,0.9318181818181818
LANO,rotation_5yr,2019,0.8261686017086557,0.018332320272728783,0.7878787878787878,0.8598484848484849
LANO,rotation_5yr,2020,0.8689312113029485,0.023401481076676684,0.821969696969697,0.9128787878787878
LANO,rotation_5yr,2021,0.8727766716065546,0.019548662530942625,0.8333333333333334,0.9090909090909091
LANO,rotation_5yr,2022,0.8798686686850503,0.018027209490281165,0.8445075757575758,0.9128787878787878
LANO,rotation_5yr,2023,0.8416845472426031,0.024603266013743016,0.7916666666666666,0.8863636363636364
LANO,rotation_5yr,2024,0.9201082987086587,0.016176190652950145,0.8863636363636364,0.946969696969697
LABO,full,2016,0.718952609546669,0.04518132884151487,0.6285714285714286,0.8035714285714286
LABO,full,2017,0.32998299829982997,0.022344196898225584,0.28214285714285714,0.37142857142857144
LABO,full,2018,0.33234573457345734,0.01706453066903537,0.3,0.36428571428571427
LABO,full,2019,0.35725501121540726,0.014212572248504135,0.32857142857142857,0.38571428571428573
LABO,full,2020,0.3323021587873073,0.014196404202681307,0.30357142857142855,0.3607142857142857
LABO,full,2021,0.3644882345377395,0.010181459621888947,0.34285714285714286,0.38571428571428573
LABO,full,2022,0.37262547683339764,0.010335119203669876,0.3535714285714286,0.39285714285714285
