scenario,iteration,site_years,pct_of_full,detections,sites_yr_min,sites_yr_max,lambda_mean,lambda_lcl,lambda_ucl,ci_width,beta_psi_water,beta_psi_road,beta_col_road,beta_col_harvest,beta_per_road,beta_per_harvest,mean_gamma,mean_phi,mean_p,max_rhat,psi_2017,psi_2018,psi_2019,psi_2020,psi_2021,psi_2022,psi_2023,psi_2024
Full,1,1384,100,2335,173,173,1.1877125442101029,1.0833333333333333,1.3114885245901637,0.22815519125683048,-0.5855692891306665,-1.083096738801673,1.412946794153204,-0.8085028566297038,-0.14488121544503235,0.2597692980670363,0.5878281962793892,0.9379502207355964,0.7778472805630814,1.0012855947267845,0.7919877970456005,0.8790655105973025,0.8983943481053308,0.8681657032755299,0.8955677585099551,0.8906756583172768,0.9173217726396917,0.9385998715478484
2-Year,1,1044,75.4,1746,129,132,1.1711748588675899,1.0551724137931033,1.3064516129032258,0.2512791991101224,-0.43151637030272993,-1.0736195338909325,1.3060433634514659,-0.8690317313630058,-0.17778045448820268,0.3920690448392881,0.5885376490845559,0.9293441895503028,0.781226164976314,1.002411632652883,0.7932472703917791,0.862077713551702,0.8819049454078356,0.860771997430957,0.8964894026974952,0.8536197816313423,0.9289332048811818,0.9266531791907514
3-Year,1,933,67.4,1537,114,118,1.1628966796731002,1.0416594827586207,1.3070866141732282,0.2654271314146075,-0.5093223091340654,-0.7358565186028275,1.023645666905303,-1.328919905888324,0.0684163980656589,0.41211309761894765,0.5606487467424149,0.9304042512243988,0.7720598666269582,1.002221389882999,0.8018670520231214,0.8586917148362235,0.8609171483622351,0.8432254335260115,0.919645472061657,0.859485549132948,0.9284527938342967,0.9297976878612717
4-Year,1,874,63.2,1416,108,111,1.086968740430583,0.974025974025974,1.225588874530075,0.2515629005041009,-0.40095233064740854,-0.8345650801594543,1.126114809491782,-1.0450918449424724,-0.008698124812790873,0.573978214500102,0.5568022329347436,0.9199568145419975,0.7688117869036257,1.0039590666401068,0.8248291586384072,0.8663705844572896,0.8541470777135517,0.8257726396917149,0.9194791265253693,0.8458631984585742,0.8960976236351959,0.8941432241490045
5-Year,1,843,60.9,1351,103,107,1.165599157912265,1.0399933774834438,1.32,0.2800066225165563,-0.25787584488362875,-0.7952744026704519,0.910466860704753,-1.6049430199557215,-0.1974627050299907,0.37202034334472905,0.5703498065050614,0.9225417901769711,0.7620215345673166,1.0046980456378822,0.8076750160565189,0.8410867052023121,0.8414315992292871,0.8222652536929994,0.9092524084778421,0.848106615285806,0.9402093770070649,0.9383802183686577
