"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","parameter"
0.640838601583599,1.03983768835503,-1.5983835332372,0.0168425578209357,0.728167793395089,1.31705253327761,2.60304132590259,1.00092583990592,1866,1,0.756,"beta.psi[1]"
-0.460909679395443,0.49789106055609,-1.3966500750501,-0.77585402843318,-0.473187816771721,-0.165896234762957,0.564403572653059,1.00104756367302,4011,1,0.845333333333333,"beta.psi[2]"
0.0268559751427387,0.610495956057053,-1.17396532956432,-0.372124053744971,0.0302174302618793,0.427471913145532,1.23510109838871,0.99995076072158,9000,1,0.521555555555556,"beta.psi[3]"
-0.279536437390642,0.141799041656545,-0.575344551482418,-0.370482270003455,-0.270495002172392,-0.180827565872564,-0.0230553008519419,0.9999398592264,9000,0,0.986666666666667,"beta.gamma"
-1.27781845358367,0.356234208288247,-2.00618422087572,-1.51585716182906,-1.26201390105819,-1.02535234215081,-0.62833643112905,1.00049060922012,3136,0,1,"beta.phi"
0.37915562897189,0.0452505434926994,0.290935778813353,0.348288991309734,0.379289381501972,0.409665005088946,0.468575791669053,0.999902983248652,9000,0,1,"beta.p[1]"
0.023002222697421,0.0440153960601533,-0.0633223979966026,-0.00639974650585899,0.023481293965426,0.052305432974311,0.110093393882816,1.0000655686207,9000,1,0.700888888888889,"beta.p[2]"
0.361657771050301,0.0480703608964496,0.268028093073923,0.329397002228962,0.361589993728793,0.394256210333491,0.456783509880983,0.999918763960099,9000,0,1,"beta.p[3]"
0.0412477727148729,0.043937358494271,-0.0424255953608312,0.011924709013854,0.0402777431808474,0.0708766006254913,0.128913482085924,1.00012868552074,7644,1,0.826777777777778,"beta.p[4]"
-1.5607138309847,0.752618643897885,-3.26645175316655,-1.99477921842557,-1.49246337899021,-1.04091503603288,-0.289239645872838,0.999869321642644,9000,0,0.994777777777778,"alpha.gamma[1]"
-1.40409542468426,0.498135277623473,-2.49029852823085,-1.69613241332549,-1.36000766082994,-1.06571147475274,-0.551183573494477,1.00087037932079,2625,0,0.999444444444444,"alpha.gamma[2]"
-1.15170741199003,0.335475352697366,-1.84741709757713,-1.37169085646784,-1.13702710717788,-0.917327703192699,-0.526572581972618,1.00004598213654,9000,0,1,"alpha.gamma[3]"
-0.447124001507225,0.284145819019538,-1.01950217747247,-0.631398266573319,-0.445759620665785,-0.258419940089271,0.106535187550027,1.00014674495523,9000,1,0.945333333333333,"alpha.gamma[4]"
-1.93146385192365,0.544430400995287,-3.15771443028307,-2.24835870882039,-1.87734367005151,-1.55659458600634,-1.0201977379921,1.00046338269431,4154,0,1,"alpha.gamma[5]"
