"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","parameter"
-2.05414119705157,1.23690675904137,-4.46051599266357,-2.8821777189058,-2.06732582688766,-1.25631713999889,0.449623072963542,1.00106743745222,3153,1,0.949333333333333,"beta.psi[1]"
1.0500378119785,0.585546557561329,-0.0428708457682927,0.656783207840782,1.02752036136858,1.41919293888975,2.28048069198515,1.00481426826925,462,1,0.970666666666667,"beta.psi[2]"
-0.869715667831184,0.952736328509976,-2.85678856036164,-1.45727122873081,-0.843536865442404,-0.23487827566643,0.91301186822515,1.00086299349586,4816,1,0.825666666666667,"beta.psi[3]"
-0.00965194459941599,0.43776658463638,-1.08251161258331,-0.235734247256731,0.0560124966272832,0.280366649013376,0.696958422478583,1.00060918793656,2839,1,0.443,"beta.gamma"
-0.0242184057950709,0.697626841858271,-1.31823381653013,-0.576308544432226,0.0478406716861529,0.465951437371555,1.29757002230263,1.00009219502548,9000,1,0.475222222222222,"beta.phi"
-0.820417820238327,0.136963877404182,-1.08439886970763,-0.911988065143072,-0.823215298366757,-0.729694327215114,-0.545206423345501,1.00113930883344,1873,0,1,"beta.p[1]"
0.359257224082363,0.141830545818339,0.0813091689917957,0.261317797804566,0.358874896135389,0.45478582593034,0.638441575311055,1.00003365177891,9000,0,0.994555555555556,"beta.p[2]"
0.324484098152638,0.123758105661273,0.0799233298674415,0.241284931099892,0.324388978806471,0.40534102276094,0.568122165067206,1.00002636130589,9000,0,0.995444444444444,"beta.p[3]"
-0.288286075067786,0.0987840155946184,-0.483226508715478,-0.354047769245625,-0.288707888317716,-0.22180436288198,-0.0957351006944959,1.00002166966705,9000,0,0.998444444444444,"beta.p[4]"
-3.94136049912981,0.734088181622493,-5.54954907572062,-4.38278664439232,-3.86877638233095,-3.42835797945799,-2.69621837272968,1.00040715168594,3985,0,1,"alpha.gamma[1]"
-4.40275274395485,0.760831955211182,-6.08133668967454,-4.8741618270987,-4.34274945241189,-3.86088462398834,-3.09317826438355,1.00002112198828,9000,0,1,"alpha.gamma[2]"
-4.02548687236578,0.718499688255238,-5.64700697592369,-4.44536122511098,-3.94931007457568,-3.51571403765791,-2.84052569695027,1.00015493265664,9000,0,1,"alpha.gamma[3]"
-4.3407609135119,0.772481336808303,-6.01299246463212,-4.82352844653264,-4.26909077757728,-3.78700873394702,-3.02935892431723,1.00039653674978,5907,0,1,"alpha.gamma[4]"
-3.55130332177436,0.674059824358248,-5.12805889912638,-3.94348986932035,-3.47438841498952,-3.06609294331508,-2.47738688999982,1.00093249576188,1990,0,1,"alpha.gamma[5]"
-3.0172529405786,0.602471777140216,-4.38925924038585,-3.35493756438627,-2.94644727904061,-2.6024787905225,-2.04115803606165,1.00134247262095,1615,0,1,"alpha.gamma[6]"
