"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","parameter"
0.295946643640841,1.12999314908381,-1.96473109851854,-0.432892763793506,0.296551104784627,1.02634789221937,2.49733180205433,1.00007794035743,9000,1,0.609222222222222,"beta.psi[1]"
-0.207573939317295,0.403218985959107,-0.992283113360871,-0.466824107801765,-0.212416983372258,0.051670763252326,0.603786996218302,1.00024380262471,5133,1,0.709666666666667,"beta.psi[2]"
0.0680221601805575,0.69493199498231,-1.27857896182593,-0.398851004834429,0.0639691478745766,0.516489663396313,1.48584951113718,1.00002619215089,9000,1,0.538666666666667,"beta.psi[3]"
-0.543870762595119,0.204389182174223,-0.975937071903666,-0.67507540446145,-0.529740582477481,-0.397662664672428,-0.19275270454355,1.00035457101762,5631,0,0.999222222222222,"beta.gamma"
0.146500946328886,0.390391632392674,-0.523191826204477,-0.130671496172955,0.113557582437236,0.391528827105851,1.00285429800907,1.00038608762295,4436,1,0.617,"beta.phi"
0.178251615382263,0.0497037785062881,0.0815288067526299,0.144357754198047,0.178758581573166,0.212352216662691,0.276642614231614,0.999918801399134,9000,0,0.999666666666667,"beta.p[1]"
-0.0198658498307342,0.0478182453270193,-0.113854061439556,-0.0512604967837207,-0.0201728550047265,0.0130560071974978,0.0735853626672179,1.00018217897506,9000,1,0.661666666666667,"beta.p[2]"
0.289807494879105,0.0496608840931514,0.193032014605129,0.256372012764399,0.288933740650471,0.32377787950541,0.387108631175655,0.999886747202813,9000,0,1,"beta.p[3]"
0.23381408140507,0.0482763269007561,0.136645953524857,0.201294811102301,0.234404088988342,0.266010033790296,0.327882816336124,1.00040965026458,9000,0,1,"beta.p[4]"
-1.43350650828643,0.516306098192772,-2.5392005744693,-1.75694179235639,-1.39648169145511,-1.07343004857905,-0.528136796655201,1.0003833624959,4815,0,0.999333333333333,"alpha.gamma[1]"
-1.72902878281331,0.60210816301041,-3.08313775303548,-2.06220877034667,-1.65937496246268,-1.30495672688006,-0.761151815427212,1.000567005277,2915,0,0.999888888888889,"alpha.gamma[2]"
-1.37427868390382,0.416683101423419,-2.279657287334,-1.62943452987097,-1.34962408341393,-1.08427461383026,-0.633494825336425,0.999900334819667,9000,0,0.999888888888889,"alpha.gamma[3]"
-1.33964382923506,0.39331752777283,-2.19143252341638,-1.5855226036604,-1.32289934130808,-1.06981554891547,-0.616027428622326,1.00078560496975,2373,0,1,"alpha.gamma[4]"
-1.23987899214847,0.360714105449043,-2.00201636269138,-1.46869350967864,-1.22038616437622,-0.994127710272371,-0.582825992332816,1.00019541278596,6559,0,0.999888888888889,"alpha.gamma[5]"
-0.913807870739184,0.361348568952014,-1.67214092689425,-1.13734736030438,-0.892406092996198,-0.668374818087334,-0.254745376270841,1.00128258520247,1388,0,0.997666666666667,"alpha.gamma[6]"
-1.36978606049105,0.420530342514962,-2.24158006672514,-1.64109383390123,-1.3486740091166,-1.0812192774273,-0.608174795218938,1.00024166630726,5309,0,1,"alpha.gamma[7]"
-0.817716158343624,0.393953098146541,-1.63753159057601,-1.07100935450202,-0.805044645654917,-0.551271262117978,-0.0828327039184822,1.00037409212874,5322,0,0.984888888888889,"alpha.gamma[8]"
1.94123060907658,0.416855168895232,1.18980713926774,1.65576535123469,1.91805106038708,2.19876647051705,2.82230657084382,0.999922712594888,9000,0,1,"alpha.phi[1]"
1.90605329344438,0.425440596436482,1.16288515842827,1.61298142890009,1.86932487881232,2.1705711814214,2.8276418699839,1.00027937743212,5240,0,1,"alpha.phi[2]"
