scenario,scenario_label,n_site_years,n_observations,n_detections,lambda_mean,lambda_lcl,lambda_ucl,mean_gamma,mean_gamma_lcl,mean_gamma_ucl,mean_phi,mean_phi_lcl,mean_phi_ucl,mean_p,mean_p_lcl,mean_p_ucl,Rhat_max
full,Full,1557,3538,948,0.539732079765019,0.46376811594202894,0.6309148954780022,0.051619379901081695,0.028986158484143112,0.08727403459463542,0.8801178130843733,0.8502171891960014,0.9073312692473623,0.6692382304728023,0.6424029754689342,0.6962300647465178,1.0017668746149102
panel_2,2-Panel,1186,2721,752,0.5463319278850856,0.45985401459854014,0.6666666666666667,0.06609184291602087,0.03240214885334075,0.11805990006290751,0.874535832462489,0.836639807038029,0.906580488319701,0.6643992907805732,0.6332062956465723,0.6944471939845932,1.0096655862078932
panel_3,3-Panel,1047,2380,673,0.5517701307795893,0.44978187919463086,0.6878727064220183,0.06911033253761129,0.034463274395710945,0.12343951477017437,0.8664103282169223,0.8298292395435565,0.8985703712811233,0.6697127762838594,0.6375154811603089,0.7014502705507827,1.0055337131383404
panel_4,4-Panel,999,2246,649,0.5580066171177511,0.45390070921985815,0.7115384615384616,0.08774567472119013,0.04372506316791364,0.1433468723545324,0.8518983263986808,0.811007243925753,0.8882747507198983,0.6666625321548356,0.6325926093408745,0.6995207075348762,1.0188588791352153
panel_5,5-Panel,947,2149,620,0.5841025916484509,0.44852941176470584,0.7802197802197802,0.09916891891462075,0.04488594785713647,0.15069135358830305,0.8435715515490162,0.7970854871100754,0.8838932181994222,0.6678624263878796,0.6325289063037893,0.7014781590211578,1.0040271919160737
