scenario,scenario_label,year,psi_mean,psi_lcl,psi_ucl
full,Full,2016,0.7112465510597302,0.6184971098265896,0.8034682080924855
full,Full,2017,0.4079038150289017,0.3583815028901734,0.4624277456647399
full,Full,2018,0.39333179190751444,0.3583815028901734,0.4277456647398844
full,Full,2019,0.3841689402697495,0.35260115606936415,0.4161849710982659
full,Full,2020,0.3712585741811175,0.34104046242774566,0.3988439306358382
full,Full,2021,0.399837225433526,0.37572254335260113,0.42196531791907516
full,Full,2022,0.405364161849711,0.3872832369942196,0.42196531791907516
full,Full,2023,0.428346204238921,0.4046242774566474,0.4508670520231214
full,Full,2024,0.382166936416185,0.35260115606936415,0.4161849710982659
panel_2,2-Panel,2016,0.7359981502890174,0.6127167630057804,0.8439306358381503
panel_2,2-Panel,2017,0.38990119460500966,0.32947976878612717,0.4508670520231214
panel_2,2-Panel,2018,0.3804843159922929,0.34104046242774566,0.42196531791907516
panel_2,2-Panel,2019,0.3747828901734104,0.34104046242774566,0.41040462427745666
panel_2,2-Panel,2020,0.3753667822736031,0.3468208092485549,0.4046242774566474
panel_2,2-Panel,2021,0.39245934489402695,0.36416184971098264,0.4161849710982659
panel_2,2-Panel,2022,0.4042506358381503,0.3815028901734104,0.4277456647398844
panel_2,2-Panel,2023,0.41167660886319846,0.3815028901734104,0.44508670520231214
panel_2,2-Panel,2024,0.39942658959537575,0.36416184971098264,0.4393063583815029
panel_3,3-Panel,2016,0.73457387283237,0.6011560693641619,0.8497109826589595
panel_3,3-Panel,2017,0.3954608092485549,0.32947976878612717,0.4682080924855491
panel_3,3-Panel,2018,0.3827736416184971,0.3352601156069364,0.4393063583815029
panel_3,3-Panel,2019,0.3615303275529865,0.3236994219653179,0.3988439306358382
panel_3,3-Panel,2020,0.36296447013487476,0.3352601156069364,0.3930635838150289
panel_3,3-Panel,2021,0.3793035838150289,0.3468208092485549,0.41040462427745666
panel_3,3-Panel,2022,0.393146204238921,0.36416184971098264,0.42196531791907516
panel_3,3-Panel,2023,0.41103414258188825,0.3699421965317919,0.45664739884393063
panel_3,3-Panel,2024,0.40229240847784203,0.35260115606936415,0.45664739884393063
panel_4,4-Panel,2016,0.7324417726396917,0.5838150289017341,0.8497109826589595
panel_4,4-Panel,2017,0.39478011560693643,0.3179190751445087,0.4682080924855491
panel_4,4-Panel,2018,0.3848225048169557,0.3236994219653179,0.4508670520231214
panel_4,4-Panel,2019,0.369477302504817,0.31213872832369943,0.42196531791907516
panel_4,4-Panel,2020,0.3751294026974952,0.3352601156069364,0.4161849710982659
panel_4,4-Panel,2021,0.3969313294797688,0.3583815028901734,0.4393063583815029
panel_4,4-Panel,2022,0.41211375722543353,0.37572254335260113,0.4508670520231214
panel_4,4-Panel,2023,0.41758088631984586,0.3699421965317919,0.4682080924855491
panel_4,4-Panel,2024,0.4049979190751445,0.3583815028901734,0.45664739884393063
panel_5,5-Panel,2016,0.6914416955684007,0.5260115606936416,0.8323699421965318
panel_5,5-Panel,2017,0.41470088631984586,0.34104046242774566,0.4913294797687861
panel_5,5-Panel,2018,0.4086227360308285,0.3468208092485549,0.47398843930635837
panel_5,5-Panel,2019,0.3837478227360308,0.32947976878612717,0.4393063583815029
panel_5,5-Panel,2020,0.39197472061657035,0.34104046242774566,0.44508670520231214
panel_5,5-Panel,2021,0.38338527938342964,0.34104046242774566,0.4277456647398844
panel_5,5-Panel,2022,0.4014600385356455,0.3583815028901734,0.44508670520231214
panel_5,5-Panel,2023,0.40197364161849714,0.3468208092485549,0.45664739884393063
panel_5,5-Panel,2024,0.39777788053949903,0.34104046242774566,0.4624277456647399
