scenario_label,n_site_years,pct_of_full_data,n_detections,lambda_str,lambda_ci
Full,1557,100,948,"0.54 (0.46, 0.63)",0.167
2-Panel,1186,76.2,752,"0.55 (0.46, 0.67)",0.207
3-Panel,1047,67.2,673,"0.55 (0.45, 0.69)",0.238
4-Panel,999,64.2,649,"0.56 (0.45, 0.71)",0.258
5-Panel,947,60.8,620,"0.58 (0.45, 0.78)",0.332
