"site","lat","long","grts_cell","region","water_nearby","site_type","dist_road_km","dist_harvest_km","region_idx","elevation_m","Quadrant"
"186490_SW",54.722779,-127.053965,186490,"Northern Region",1,"Rotating",0.000613771215,1.916020024,3,528,NA
"194666_NE",50.230138,-119.32344,194666,"Okanagan Region",0,"Always On",0.004665078115,1.169445997,4,510,NA
"194666_SW",50.169151,-119.410806,194666,"Okanagan Region",0,"Always On",0.05223873791,1.554526863,4,836,NA
"20330_NE",49.424541,-117.7286549,20330,"Kootenay Region",0,"Always On",0.08621435239,0.9565048781,2,925,NA
"20330_SE",49.381304,-117.6779339,20330,"Kootenay Region",0,"Always On",0.1318795132,0.6071974552,2,599,NA
"206_NW",56.0204,-133.24865,206,"Alaska",1,NA,1.00003735351563,NA,1,31,"NW"
"206394_NE",53.636548,-132.050561,206394,"Northern Region",0.520547945205479,"Rotating",0.5189687749,3.002104115,3,31,NA
"206394_NW",53.637196,-132.162509,206394,"Northern Region",0.520547945205479,"Rotating",0.02688651872,0,3,32,NA
"206394_SE",53.608769,-131.99988,206394,"Northern Region",0.520547945205479,"Rotating",0.0471415867,1.965326903,3,29,NA
"206394_SW",53.573235,-132.115794,206394,"Northern Region",0.520547945205479,"Rotating",0.1039524567,0.1496907156,3,71,NA
"20730_NE",56.7952475,-124.9005858,20730,"Northern Region",0.520547945205479,"Always On",0.03519104728,1.96327538,3,690,NA
"20730_NW",56.79948362,-124.9761373,20730,"Northern Region",0.520547945205479,"Always On",0.1408644294,0.04340301436,3,787,NA
"20730_SE",56.7845655,-124.8854358,20730,"Northern Region",0.520547945205479,"Always On",0.01480558094,0.9620677124,3,688,NA
"20730_SW",56.76456457,-124.985882,20730,"Northern Region",0.544789500107581,"Unknown",0.02354291116,1.467795425,3,694,NA
"212266_NE",50.7512766,-120.4800092,212266,"Okanagan Region",1,"Always On",0.01727702937,6.620524247,4,752,NA
"212266_NW",50.7775476,-120.5598176,212266,"Okanagan Region",1,"Always On",0.03206587522,1.395310294,4,1104,NA
