"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","parameter"
-1.33163139550823,1.29933952595178,-3.84387719994108,-2.20482977722852,-1.35271066308782,-0.457424224930874,1.21848366122663,1.00044248577287,4547,1,0.844888888888889,"beta.psi[1]"
-0.275145272321978,0.700531161055184,-1.65473684134858,-0.719062801871298,-0.280774855775313,0.168970583632209,1.13221790868297,1.00406365859032,528,1,0.669333333333333,"beta.psi[2]"
0.707648254517417,0.96090047062022,-1.24524024706389,0.11123249293916,0.711349033290624,1.32597427479782,2.58900623815031,1.00144687909479,6544,1,0.786555555555556,"beta.psi[3]"
-0.195174308974759,0.247537155906694,-0.766080525146349,-0.331891109129941,-0.159039237124555,-0.0208240795039989,0.191157272419325,1.00122380975645,1734,1,0.782444444444444,"beta.gamma[1]"
-0.246759614865093,0.286710847989667,-0.89898660649904,-0.412555355404367,-0.20982953334759,-0.0442902550233805,0.198769866272235,1.00021197462208,9000,1,0.811,"beta.gamma[2]"
-0.049359992982603,0.434083934068827,-0.853482538797606,-0.33468868022866,-0.0654916240823687,0.212949886870124,0.872051529032942,1.00061658706498,2972,1,0.565888888888889,"beta.phi[1]"
0.880962768272961,0.995978441086648,-0.997852522569979,0.184135737561469,0.871425363787108,1.54752509380302,2.85394595706335,1.0007747823394,2534,1,0.805111111111111,"beta.phi[2]"
-0.710744227578252,0.125438195264174,-0.957432538769185,-0.7956411096511,-0.709048561714781,-0.625096620972299,-0.47001858610888,1.00022049373213,6036,0,1,"beta.p[1]"
-0.40486873068693,0.119750609186685,-0.641654053871585,-0.484765723376175,-0.404103108455046,-0.324030568686765,-0.171248482095501,1.00050890424392,3783,0,0.999444444444444,"beta.p[2]"
0.0650143450462927,0.0865806525001298,-0.105199019737655,0.00636672659217325,0.0655089434008986,0.122973498588157,0.232220197485654,1.00012230274591,9000,1,0.775777777777778,"beta.p[3]"
-0.0868281289326783,0.100949143953453,-0.284534508473005,-0.155141798797455,-0.0867997323150806,-0.0177791418613023,0.105842467061529,1.00002620412212,9000,1,0.806666666666667,"beta.p[4]"
-3.9021924151826,0.792233314714078,-5.69018859530283,-4.3721203529775,-3.81481528686323,-3.33430753945486,-2.59817595576372,1.0001310238522,6912,0,1,"alpha.gamma[1]"
-3.71643532680784,0.789665254468493,-5.4992405139236,-4.20409693408027,-3.63212743601588,-3.14166661252141,-2.42803716094409,1.00140042039767,2133,0,1,"alpha.gamma[2]"
-3.33427031054456,0.663694998983401,-4.88322904515457,-3.70492263407122,-3.25010691311859,-2.88087085033182,-2.2722553200511,1.00012381996573,6902,0,1,"alpha.gamma[3]"
-3.50469489615161,0.670457665521753,-5.06402623465025,-3.8797692173098,-3.42512687226411,-3.03074618467797,-2.4293956709336,1.00038375276928,6792,0,1,"alpha.gamma[4]"
-3.3957695663331,0.640900549755743,-4.83851829790098,-3.77033204047357,-3.32811580716462,-2.94500270549198,-2.33878931209714,1.00007202965449,8744,0,1,"alpha.gamma[5]"
-3.47834482297113,0.686687048645308,-5.05979380429853,-3.88561455202426,-3.40171373096788,-3.00282531030791,-2.31422244819654,1.00004154487939,9000,0,1,"alpha.gamma[6]"
-2.68298734447856,0.46397873509837,-3.69562783699165,-2.97487047061944,-2.64630920971769,-2.35980962986279,-1.86506702873903,0.999981763250301,9000,0,1,"alpha.gamma[7]"
-2.64135505235598,0.617481250289218,-4.07780302844619,-2.97321561751369,-2.56592969531104,-2.21978320513332,-1.66097665340105,0.999945924604919,9000,0,1,"alpha.gamma[8]"
1.02600390893596,0.749981335284358,-0.235958151939495,0.504514483029212,0.948978453843592,1.46120349272152,2.70939078826942,1.00323505869225,609,1,0.936333333333333,"alpha.phi[1]"
2.03758184338103,0.904105723777361,0.533566485108564,1.39095473522319,1.95289522952552,2.57244431295439,4.08262755643954,1.00051442411672,4171,0,0.996666666666667,"alpha.phi[2]"
1.61828666849734,0.799391544407906,0.25571524858991,1.06914454645218,1.54504351422311,2.09015919420406,3.44524657881381,1.0008040233223,2502,0,0.991777777777778,"alpha.phi[3]"
1.23666558097095,0.678163376792063,0.0479192390113211,0.778061340879385,1.18271776039319,1.64276870291124,2.70479440468485,1.00005551044452,9000,0,0.979,"alpha.phi[4]"
2.65242792899051,0.942961008204689,1.03513413389476,1.97719580555144,2.56496501696907,3.23419603351761,4.70925141960594,0.999845140848659,9000,0,0.999888888888889,"alpha.phi[5]"
1.66291300548691,0.8117970270222,0.349715686973162,1.09170216612179,1.56813373847944,2.11264355258258,3.53763633153598,1.0009274274325,5664,0,0.996555555555556,"alpha.phi[6]"
0.961146402019077,0.792122547042521,-0.378356142102732,0.414043573699832,0.883394200289491,1.41935559562262,2.72717775684334,1.00182946310724,1052,1,0.904111111111111,"alpha.phi[7]"
1.50104940201861,0.860082806294538,0.0759693548420369,0.899484399327744,1.41434794853292,1.99913162489188,3.47731602947541,1.00004366165022,9000,0,0.981777777777778,"alpha.phi[8]"
0.0254896416058852,0.0177870530840403,0.0033675774523215,0.0124670542651011,0.0215664235314585,0.0344128095228144,0.0692559050790619,1.00020382231263,6777,0,1,"gamma.avg[1]"
0.0303768463593397,0.0207162880150028,0.00407321750934035,0.014714516250643,0.0257777578098486,0.041420895903318,0.0810595570648422,1.00026114868944,5553,0,1,"gamma.avg[2]"
0.0407289504450912,0.0226344030471689,0.00751561116184493,0.0240113896598456,0.0373230457620325,0.0531073271062216,0.0934469784991679,1.00031427361402,4849,0,1,"gamma.avg[3]"
0.0347452762653249,0.0195766034292069,0.00628037046048398,0.0202375726002924,0.0315193496473543,0.046056033271911,0.0809584223717466,1.0003528919209,8134,0,1,"gamma.avg[4]"
0.0381115626823777,0.0210748660290723,0.00785656505439824,0.0225253274572631,0.0346191460714952,0.0499732298460902,0.0879609936511442,1.00037312908849,9000,0,1,"gamma.avg[5]"
0.0360702744535196,0.0215966954653988,0.00630684163190487,0.0201219967264075,0.0322419493044201,0.0472983984139671,0.0899518942465588,0.999983468366775,9000,0,1,"gamma.avg[6]"
0.0694239942358424,0.028381385192836,0.0242301782634767,0.0485741401754843,0.0662168556236994,0.0862892027399092,0.1341135409371,1.00012224646577,9000,0,1,"gamma.avg[7]"
0.0757672052944133,0.037212724070774,0.0166623189614459,0.0486506759907959,0.0713635763868952,0.0979879643423566,0.159630936846678,1.00044133893882,9000,0,1,"gamma.avg[8]"
0.713424433089809,0.130897483631375,0.441282641078957,0.623519663454255,0.720909687150325,0.811716675818401,0.937578503973886,1.00419032241513,503,0,1,"phi.avg[1]"
0.856230265657387,0.0952171902975399,0.63031455304075,0.800744617399867,0.875761994106194,0.929066948883371,0.983416547618071,1.00049496288315,5690,0,1,"phi.avg[2]"
0.80877491635001,0.106584858201783,0.563582714574337,0.744434197655611,0.824196708001027,0.889943016608032,0.969089065343413,1.0013965842425,1736,0,1,"phi.avg[3]"
