scenario,iteration,site_years,pct_of_full,detections,sites_yr_min,sites_yr_max,lambda_mean,lambda_lcl,lambda_ucl,ci_width,beta_psi_water,beta_psi_road,beta_col_road,beta_col_harvest,beta_per_road,beta_per_harvest,mean_gamma,mean_phi,mean_p,max_rhat,psi_2017,psi_2018,psi_2019,psi_2020,psi_2021,psi_2022,psi_2023,psi_2024
Full,1,1384,100,862,173,173,0.8581826273946461,0.75,0.9852941176470587,0.23529411764705865,0.52241745471817,0.2500843719107744,-0.1701920282824525,-0.412403825995451,0.09448240794850142,0.5509222755131773,0.03542189736529831,0.9316208521843481,0.6640222152696781,1.0025159499111118,0.44701091843288376,0.4204149004495825,0.40154271034039823,0.3793281952472704,0.40373795761079,0.4050423892100193,0.4283526011560694,0.3824193962748876
2-Year,1,1044,75.4,682,129,132,0.9075336624411027,0.7752808988764045,1.0606534090909085,0.28537251021450405,0.32397032919580104,0.2695677831427589,0.24266726419020074,-0.43775650729316223,-0.4957206075849557,0.5482234810185064,0.03632500634190752,0.9380869560699179,0.6674139363555668,1.0106329333054491,0.4515208734746307,0.41877970456005137,0.39807064868336545,0.38979576107899805,0.4069428387925498,0.4137238278741169,0.42383622350674377,0.40811624919717404
3-Year,1,933,67.4,603,114,118,0.8816918491005733,0.7307692307692307,1.0625000000000002,0.3317307692307695,0.4540692508388573,-0.214096575163841,-0.011989544016371378,-0.5505880184481754,-0.10109014562447459,0.4100072674638901,0.03516554008292835,0.9285322487346269,0.6739939795296339,1.0037522224876625,0.4294996788696211,0.40249775208734745,0.38303082851637765,0.3741740526653821,0.3790398201669878,0.38305266538214516,0.3867058445728966,0.37658188824662814
4-Year,1,874,63.2,568,108,111,0.9046685172623948,0.7362637362637362,1.1060606060606062,0.36979686979687,0.5003283853665922,-0.03208665755694183,0.23094128434037328,-0.7023228355604165,-0.6102824179531493,0.6313265413914992,0.04887623395737907,0.9121371699325599,0.6743019668611164,1.00307410861775,0.4514251766217084,0.42106615285806037,0.37750610147719976,0.36844637122671803,0.3840199100834939,0.3965491329479769,0.41251059730250483,0.4060815671162492
5-Year,1,843,60.9,539,103,107,0.8802692697066611,0.7159090909090909,1.0806451612903225,0.36473607038123157,0.4076910010162927,-0.02699097618588656,0.3308668200838914,-0.4307447255002467,-0.8767030889891723,0.47905639646611015,0.041758949923237317,0.9235661192826978,0.6627522249380867,1.0018648449208327,0.45283044315992294,0.4209987154784843,0.3962703917790623,0.39615542710340396,0.39971868978805397,0.40742646114322417,0.40302890173410405,0.3963763648041105
