"site","lat","long","grts_cell","region","water_nearby","site_type","dist_road_km","dist_harvest_km","region_idx","elevation_m","GRTS.Cell.ID","Quadrant"
"127850_SE",49.284975,-114.953949,127850,"Kootenay Region",1,"Always On",0.02149092684,1.183838314,1,1009,NA,NA
"127850_SW",49.267101,-115.02532,127850,"Kootenay Region",0,"Always On",0.09175681645,2.173582513,1,986,NA,NA
"128058_NE",48.841169,-123.427265,128058,"South Coastal Region",1,"Rotating",0.2640836948,2.736497264,4,8,NA,NA
"128058_NW",48.82144,-123.486428,128058,"South Coastal Region",1,"Rotating",0.009085159735,1.7946263,4,108,NA,NA
"128058_SW",48.798281,-123.476317,128058,"South Coastal Region",1,"Rotating",0.03849128587,2.644988923,4,92,NA,NA
"132650_SE",51.818279,-122.4214442,132650,"Okanagan Region",0,"Rotating",0.001540658265,3.962055807,3,574,NA,NA
"132650_SW",51.80225,-122.46284,132650,"Okanagan Region",0,"Rotating",0.2829378448,4.298402042,3,837,NA,NA
"137274_NE",48.79,-123.6988,137274,"South Coastal Region",1,"Rotating",0.2721503928,1.666689469,4,10,NA,NA
"137274_NW",48.7891,-123.719,137274,"South Coastal Region",1,"Rotating",0.02971448606,1.249527992,4,25,NA,NA
"137274_SE",48.7539,-123.6447,137274,"South Coastal Region",1,"Rotating",0.1507193816,1.552003235,4,3,NA,NA
"143274_NE",50.3377,-122.8012,143274,"South Coastal Region",0,"Rotating",0.039030495,0.9661518287,4,247,NA,NA
"143274_NW",50.3446,-122.8479,143274,"South Coastal Region",1,"Rotating",0.179419662,0.08312037024,4,231,NA,NA
"143274_SE",50.3004,-122.758,143274,"South Coastal Region",1,"Rotating",0.2236128108,0.3700218478,4,207,NA,NA
"143274_SW",50.2961,-122.8048,143274,"South Coastal Region",0,"Rotating",0.07657301331,0.4239778677,4,318,NA,NA
"145578_NE",49.931778,-115.655583,145578,"Kootenay Region",0,"Rotating",0.02006523619,0,1,911,NA,NA
"145578_NW",49.935444,-115.674972,145578,"Kootenay Region",0,"Rotating",0.004830469903,0.4393805754,1,942,NA,NA
"145578_SE",49.899833,-115.642222,145578,"Kootenay Region",1,"Rotating",0.2503972128,0.1173066,1,964,NA,NA
"145578_SW",49.895889,-115.695,145578,"Kootenay Region",1,"Rotating",0.1320498469,0.1649779423,1,864,NA,NA
"16426_NE",54.82137,-123.355785,16426,"Northern Region",0,"Rotating",0.01202715834,1.726082815,2,867,NA,NA
"16426_SE",54.818945,-123.339974,16426,"Northern Region",1,"Rotating",0.03753565792,2.281264463,2,856,NA,NA
"172090_NE",49.37012,-122.94857,172090,"South Coastal Region",0,"Rotating",0.01001270836,6.24877454,4,1063,NA,NA
"172090_NW",49.3468347,-123.009846,172090,"South Coastal Region",1,"Rotating",0.1598769048,2.749180976,4,191,NA,NA
"172090_SE",49.32364,-122.97036,172090,"South Coastal Region",0,"Rotating",0,6.60012463,4,136,NA,NA
"172090_SW",49.31421,-123.01406,172090,"South Coastal Region",1,"Rotating",0.04918120684,5.82659783,4,15,NA,NA
"175354_SE",59.42418,-125.94917,175354,"Northern Region",0,"Rotating",0.001126410447,74.85105621,2,439,NA,NA
"175354_SW",59.40931,-126.09868,175354,"Northern Region",0,"Rotating",0.02931769747,78.52853379,2,440,NA,NA
"17706_NW",51.97600921,-120.1036777,17706,"Northern Region",1,"Rotating",0.478035762,5.859951196,2,825,NA,NA
"17706_SE",51.940804,-120.016832,17706,"Northern Region",1,"Rotating",0.6079035123,0.3277912016,2,713,NA,NA
"17706_SW",51.94316,-120.06784,17706,"Northern Region",0,"Rotating",0.0264606054,1.549550726,2,738,NA,NA
"186490_NW",54.754,-127.12678,186490,"Northern Region",0,"Rotating",4.6724036e-05,2.900938621,2,480,NA,NA
"186490_SE",54.722574,-126.997418,186490,"Northern Region",0,"Rotating",0.01698497489,0.7170475043,2,786,NA,NA
"186490_SW",54.722779,-127.053965,186490,"Northern Region",1,"Rotating",0.000613771215,1.916020024,2,528,NA,NA
"194666_NE",50.230138,-119.32344,194666,"Okanagan Region",0,"Always On",0.004665078115,1.169445997,3,510,NA,NA
"194666_SW",50.169151,-119.410806,194666,"Okanagan Region",0,"Always On",0.05223873791,1.554526863,3,836,NA,NA
"20330_NE",49.424541,-117.7286549,20330,"Kootenay Region",0,"Always On",0.08621435239,0.9565048781,1,925,NA,NA
"20330_SE",49.381304,-117.6779339,20330,"Kootenay Region",0,"Always On",0.1318795132,0.6071974552,1,599,NA,NA
"206394_NE",53.636548,-132.050561,206394,"Northern Region",0.520547945205479,"Rotating",0.5189687749,3.002104115,2,31,NA,NA
"206394_NW",53.637196,-132.162509,206394,"Northern Region",0.520547945205479,"Rotating",0.02688651872,0,2,32,NA,NA
"206394_SE",53.608769,-131.99988,206394,"Northern Region",0.520547945205479,"Rotating",0.0471415867,1.965326903,2,29,NA,NA
"206394_SW",53.573235,-132.115794,206394,"Northern Region",0.520547945205479,"Rotating",0.1039524567,0.1496907156,2,71,NA,NA
"20730_NE",56.7952475,-124.9005858,20730,"Northern Region",0.520547945205479,"Always On",0.03519104728,1.96327538,2,690,NA,NA
"20730_NW",56.79948362,-124.9761373,20730,"Northern Region",0.520547945205479,"Always On",0.1408644294,0.04340301436,2,787,NA,NA
"20730_SE",56.7845655,-124.8854358,20730,"Northern Region",0.520547945205479,"Always On",0.01480558094,0.9620677124,2,688,NA,NA
"212266_NE",50.7512766,-120.4800092,212266,"Okanagan Region",1,"Always On",0.01727702937,6.620524247,3,752,NA,NA
"212266_NW",50.7775476,-120.5598176,212266,"Okanagan Region",1,"Always On",0.03206587522,1.395310294,3,1104,NA,NA
"212266_SE",50.7148071,-120.4925243,212266,"Okanagan Region",1,"Always On",0.3304393767,8.957108883,3,343,NA,NA
"212266_SW",50.7323352,-120.5218426,212266,"Okanagan Region",1,"Always On",0.3440526404,6.906167127,3,395,NA,NA
"212906_NW",49.36971,-124.79984,212906,"South Coastal Region",0,"Rotating",0.0089450165,0.009855866476,4,226,NA,NA
"212906_SE",49.35175,-124.74136,212906,"South Coastal Region",1,"Rotating",0.000182007324,1.00241616,4,157,NA,NA
"212906_SW",49.33595,-124.7423,212906,"South Coastal Region",0,"Rotating",0,0.9267326499,4,131,NA,NA
"216746_NW",49.106754,-125.78544,216746,"South Coastal Region",1,"Always On",0.01432371363,2.978330433,4,13,NA,NA
"216746_SE",49.077676,-125.746438,216746,"South Coastal Region",1,"Always On",0.9020542675,1.286644066,4,1,NA,NA
"218282_SE",50.138325,-117.556721,218282,"Kootenay Region",1,"Always On",0.1912523891,0,1,767,NA,NA
"218282_SW",50.150936,-117.622098,218282,"Kootenay Region",1,"Always On",0.1419228903,0.8535157427,1,782,NA,NA
"226090_NE",50.10929,-120.45236,226090,"Okanagan Region",1,"Rotating",0.9714916486,6.44627669,3,1130,NA,NA
"226090_NW",50.0999,-120.50647,226090,"Okanagan Region",1,"Rotating",0.1042316954,2.763690906,3,718,NA,NA
"226090_SE",50.07156,-120.42266,226090,"Okanagan Region",0,"Rotating",0.2881725344,7.009261239,3,1287,NA,NA
"230186_NE",49.014567,-121.071983,230186,"Okanagan Region",0,"Rotating",0.0143325976,2.113284618,3,484,NA,NA
"230186_SE",48.975109,-121.083294,230186,"Okanagan Region",1,"Rotating",0.151817406493965,3.41141787345413,3,498,NA,NA
"241002_NE",51.038169,-118.135697,241002,"Kootenay Region",1,"Always On",0.1213738793,2.976574903,1,1772,NA,NA
"241002_NW",51.015969,-118.202923,241002,"Kootenay Region",0,"Always On",0.004482636919,1.282092544,1,591,NA,NA
"243562_NE",49.699661,-115.984981,243562,"Kootenay Region",0,"Rotating",0.01434466369,0,1,1194,NA,NA
"243562_SE",49.650677,-115.946919,243562,"Kootenay Region",1,"Rotating",0.1656400712,2.553538607,1,1067,NA,NA
"26170_NE",53.620517,-132.208832,26170,"Northern Region",0.520547945205479,"Rotating",0.02674099227,0.5677774757,2,12,NA,NA
"26170_NW",53.604517,-132.288374,26170,"Northern Region",0.520547945205479,"Rotating",0.2886794578,0.1937344669,2,8,NA,NA
"26170_SE",53.58901,-132.176947,26170,"Northern Region",0.520547945205479,"Rotating",0.05792309992,0.7590362778,2,20,NA,NA
"26170_SW",53.568946,-132.230418,26170,"Northern Region",0.520547945205479,"Rotating",0,0.009186533698,2,87,NA,NA
"265749_NE",49.15892,-119.03758,265749,"Okanagan Region",1,"Rotating",0.03952574177,0,3,1077,NA,NA
"265749_NW",49.16674,-119.10324,265749,"Okanagan Region",1,"Rotating",0.8618626271,0.9960676757,3,1085,NA,NA
"265749_SE",49.11153,-118.97698,265749,"Okanagan Region",0,"Rotating",0.02360855138,0.3974501742,3,621,NA,NA
