"site","grts_cell","region","region_idx","site_type","lat","long","elevation","water","dist_road_km","dist_harvest_km"
"206394_SE",206394,"Northern Region",2,"Rotating",53.608769,-131.99988,1000,0,0.0471415867,1.965326903
"206394_SW",206394,"Northern Region",2,"Rotating",53.573235,-132.115794,1000,0,0.1039524567,0.1496907156
"20730_NE",20730,"Northern Region",2,"Always On",56.7952475,-124.9005858,1000,0,0.03519104728,1.96327538
"20730_NW",20730,"Northern Region",2,"Always On",56.79948362,-124.9761373,1000,0,0.1408644294,0.04340301436
"20730_SE",20730,"Northern Region",2,"Always On",56.7845655,-124.8854358,1000,0,0.01480558094,0.9620677124
"212266_NE",212266,"Okanagan Region",3,"Always On",50.7512766,-120.4800092,1000,1,0.01727702937,6.620524247
"212266_NW",212266,"Okanagan Region",3,"Always On",50.7775476,-120.5598176,1000,1,0.03206587522,1.395310294
"212266_SE",212266,"Okanagan Region",3,"Always On",50.7148071,-120.4925243,1000,1,0.3304393767,8.957108883
"212266_SW",212266,"Okanagan Region",3,"Always On",50.7323352,-120.5218426,1000,1,0.3440526404,6.906167127
"212906_NW",212906,"South Coastal Region",4,"Rotating",49.36971,-124.79984,1000,0,0.0089450165,0.009855866476
"212906_SE",212906,"South Coastal Region",4,"Rotating",49.35175,-124.74136,1000,1,0.000182007324,1.00241616
"212906_SW",212906,"South Coastal Region",4,"Rotating",49.33595,-124.7423,1000,0,0,0.9267326499
"216746_NW",216746,"South Coastal Region",4,"Always On",49.106754,-125.78544,1000,1,0.01432371363,2.978330433
"216746_SE",216746,"South Coastal Region",4,"Always On",49.077676,-125.746438,1000,1,0.9020542675,1.286644066
"218282_SE",218282,"Kootenay Region",1,"Always On",50.138325,-117.556721,1000,1,0.1912523891,0
"218282_SW",218282,"Kootenay Region",1,"Always On",50.150936,-117.622098,1000,1,0.1419228903,0.8535157427
"226090_NE",226090,"Okanagan Region",3,"Rotating",50.10929,-120.45236,1000,1,0.9714916486,6.44627669
"226090_NW",226090,"Okanagan Region",3,"Rotating",50.0999,-120.50647,1000,1,0.1042316954,2.763690906
"226090_SE",226090,"Okanagan Region",3,"Rotating",50.07156,-120.42266,1000,0,0.2881725344,7.009261239
"230186_NE",230186,"Okanagan Region",3,"Rotating",49.014567,-121.071983,1000,0,0.0143325976,2.113284618
"230186_SE",230186,"Okanagan Region",3,"Rotating",48.975109,-121.083294,1000,1,0.151817406493965,3.41141787345413
"241002_NE",241002,"Kootenay Region",1,"Always On",51.038169,-118.135697,1000,1,0.1213738793,2.976574903
"241002_NW",241002,"Kootenay Region",1,"Always On",51.015969,-118.202923,1000,0,0.004482636919,1.282092544
"243562_NE",243562,"Kootenay Region",1,"Rotating",49.699661,-115.984981,1000,0,0.01434466369,0
"243562_SE",243562,"Kootenay Region",1,"Rotating",49.650677,-115.946919,1000,1,0.1656400712,2.553538607
"26170_NE",26170,"Northern Region",2,"Rotating",53.620517,-132.208832,1000,0,0.02674099227,0.5677774757
"26170_NW",26170,"Northern Region",2,"Rotating",53.604517,-132.288374,1000,0,0.2886794578,0.1937344669
"26170_SE",26170,"Northern Region",2,"Rotating",53.58901,-132.176947,1000,0,0.05792309992,0.7590362778
"26170_SW",26170,"Northern Region",2,"Rotating",53.568946,-132.230418,1000,0,0,0.009186533698
"265749_NE",265749,"Okanagan Region",3,"Rotating",49.15892,-119.03758,1000,1,0.03952574177,0
"265749_NW",265749,"Okanagan Region",3,"Rotating",49.16674,-119.10324,1000,1,0.8618626271,0.9960676757
"265749_SE",265749,"Okanagan Region",3,"Rotating",49.11153,-118.97698,1000,0,0.02360855138,0.3974501742
"265749_SW",265749,"Okanagan Region",3,"Rotating",49.11337,-119.05299,1000,1,0.04516003745,0
"268521_NE",268521,"Kootenay Region",1,"Always On",49.49916,-115.03962,1000,0,0.02066486944,0.1786042
"268521_NW",268521,"Kootenay Region",1,"Always On",49.48855,-115.09812,1000,0,0.02974038888,3.443398332
"268521_SE",268521,"Kootenay Region",1,"Always On",49.440833,-115.056338,1000,1,0.1353535558,0.4342493186
"269777_NW",269777,"Northern Region",2,"Always On",57.04083,-122.86281,1000,0,0.2107357816,4.588363437
"269777_SW",269777,"Northern Region",2,"Always On",57.01497,-122.80521,1000,1,0.009870683865,1.666505056
"271731_SW",271731,"Kootenay Region",1,"Always On",51.241464,-117.649615,1000,0,0.04888413074,7.96178528
"283586_NE",283586,"Northern Region",2,"Rotating",54.3558,-128.5366,1000,0,0.03124162297,0
"283586_NW",283586,"Northern Region",2,"Rotating",54.3321,-128.6266,1000,1,0.0252074934,0
"283586_SE",283586,"Northern Region",2,"Rotating",54.31162,-128.54374,1000,1,0.1312254289,0.3578198515
"283586_SW",283586,"Northern Region",2,"Rotating",54.2946,-128.581,1000,0,0.009383807434,0
