scenario,n_iter,site_years,pct_of_full,lambda_mean,lambda_sd,ci_width_mean,beta_col_road_mean,beta_col_road_sd,beta_col_road_range,beta_col_harvest_mean,max_rhat,precision_loss_pct,effort_saved_pct
2-Year,5,1044,75.4,1.030249821997842,NA,0.3017678959322425,-0.2449595700652529,0.2736860755993667,0.579870521772625,1.0417433210219853,1.104356146436625,16.8,24.6
3-Year,5,933,67.4,1.0414677564064758,NA,0.30513670746160915,-0.2402508804042906,0.5231291431485586,1.1882130401488946,1.427264876432563,1.1387660741212213,18.1,32.6
4-Year,5,874,63.2,1.00988223757358,NA,0.30905344492790154,-0.5106729648331847,0.2775521695714528,0.7479695821350263,1.6047206426255687,1.1759171673176796,19.6,36.8
5-Year,5,843,60.9,1.005476492927972,NA,0.3058066901548928,-0.7725087385387911,0.3182416681130884,0.798976711384911,1.5855263456942479,1.156751474647255,18.3,39.1
Full,1,1384,100,1.040220898237123,NA,0.25846014656313965,-0.07176373451449243,NA,0,0.6518598689085683,1.0144487153447592,0,0
