site,grts_cell,region,lat,long,n_years,site_type,rotation_group
265749_SE,265749,Okanagan Region,49.11153,-118.97698,7,Rotating,1
265749_SW,265749,Okanagan Region,49.11337,-119.05299,7,Rotating,2
268521_NE,268521,Kootenay Region,49.49916,-115.03962,7,Core,0
268521_NW,268521,Kootenay Region,49.48855,-115.09812,6,Core,0
268521_SE,268521,Kootenay Region,49.440833,-115.056338,6,Core,0
269777_NW,269777,Northern Region,57.04083,-122.86281,4,Core,0
269777_SW,269777,Northern Region,57.01497,-122.80521,4,Core,0
271731_SW,271731,Kootenay Region,51.241464,-117.649615,6,Core,0
283586_NE,283586,Northern Region,54.3558,-128.5366,6,Rotating,4
283586_NW,283586,Northern Region,54.3321,-128.6266,7,Rotating,1
283586_SE,283586,Northern Region,54.31162,-128.54374,7,Rotating,4
283586_SW,283586,Northern Region,54.2946,-128.581,7,Rotating,4
294832_NE,294832,Northern Region,56.3348,-120.97877,7,Core,0
294832_NW,294832,Northern Region,56.33264,-121.00747,7,Core,0
294832_SE,294832,Northern Region,56.30206,-120.94608,7,Core,0
294832_SW,294832,Northern Region,56.30496,-121.00198,7,Core,0
317428_NE,317428,South Coastal Region,49.06292,-120.799436,7,Rotating,2
317428_NW,317428,South Coastal Region,49.06417,-120.90943,7,Rotating,3
317428_SE,317428,South Coastal Region,49.06053,-120.77309,7,Rotating,1
317428_SW,317428,South Coastal Region,49.04617,-120.85085,6,Rotating,1
326072_NE,326072,South Coastal Region,49.09743,-122.51957,8,Core,0
326072_NW,326072,South Coastal Region,49.05235,-122.58989,9,Core,0
326072_SE,326072,South Coastal Region,49.0144,-122.52755,7,Core,0
326072_SW,326072,South Coastal Region,49.01082,-122.58104,9,Core,0
37274_NE,37274,Northern Region,53.088742,-119.203183,6,Rotating,2
37274_SE,37274,Northern Region,53.050514,-119.214184,6,Rotating,5
37274_SW,37274,Northern Region,53.035636,-119.228949,6,Rotating,4
38442_NW,38442,Okanagan Region,51.5199863,-122.2897779,4,Rotating,4
38442_SW,38442,Okanagan Region,51.502381,-122.289917,6,Rotating,3
42026_NE,42026,Northern Region,55.85526785,-121.6534502,2,Core,0
42026_NW,42026,Northern Region,55.83615996,-121.7169091,2,Core,0
42026_SE,42026,Northern Region,55.81796825,-121.6640549,2,Core,0
42026_SW,42026,Northern Region,55.81130793,-121.7013079,2,Core,0
47210_NE,47210,Okanagan Region,49.84024333,-119.8811811,2,Core,0
